Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-11-26,PHI,Detroit Red Wings,L,2,5,PHI,Brooklyn Nets,L,91,99
2014-11-29,PHI,New York Rangers,L,2,5,PHI,Dallas Mavericks,L,103,110
2014-12-03,PHI,Anaheim Ducks,L,4,5,PHI,Minnesota Timberwolves,W,85,77
2014-12-06,PHI,Los Angeles Kings,W,2,1,PHI,Detroit Pistons,W,108,101
2014-12-13,PHI,Carolina Hurricanes,W,5,1,PHI,Memphis Grizzlies,L,115,120
2014-12-21,PHI,Winnipeg Jets,W,4,3,PHI,Orlando Magic,W,96,88
2014-12-23,PHI,Minnesota Wild,W,5,2,PHI,Miami Heat,W,91,87
2014-12-27,PHI,Nashville Predators,L,1,4,PHI,Utah Jazz,L,71,88
2015-01-02,PHI,Carolina Hurricanes,L,1,2,PHI,Phoenix Suns,L,96,112
2015-01-03,PHI,New Jersey Devils,L,2,5,PHI,Los Angeles Clippers,L,91,127
2015-01-10,PHI,Boston Bruins,L,1,3,PHI,Indiana Pacers,W,93,92
2015-01-14,PHI,Washington Capitals,L,0,1,PHI,Toronto Raptors,L,84,100
2015-01-17,PHI,Buffalo Sabres,W,4,3,PHI,Detroit Pistons,L,89,107
2015-01-19,PHI,New York Islanders,L,4,7,PHI,Washington Wizards,L,76,111
2015-01-31,PHI,Toronto Maple Leafs,W,1,0,PHI,Atlanta Hawks,L,85,91
2015-02-22,PHI,Washington Capitals,W,3,2,PHI,Orlando Magic,L,98,103
2015-03-07,PHI,Boston Bruins,L,2,3,PHI,Atlanta Hawks,W,92,84
2015-03-14,PHI,Detroit Red Wings,W,7,2,PHI,Brooklyn Nets,L,87,94
2015-03-25,PHI,Chicago Blackhawks,W,4,1,PHI,Denver Nuggets,W,99,85
2015-04-01,PHI,Pittsburgh Penguins,W,4,1,PHI,Washington Wizards,L,93,106
2015-04-04,PHI,Carolina Hurricanes,L,2,3,PHI,Charlotte Hornets,L,91,92
2015-04-05,PHI,Pittsburgh Penguins,W,4,1,PHI,New York Knicks,L,91,101
2015-04-11,PHI,Ottawa Senators,L,1,3,PHI,Chicago Bulls,L,107,114
2015-10-30,PHI,Buffalo Sabres,L,1,3,PHI,Utah Jazz,L,71,99
