Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-04-06,ANA,Edmonton Oilers,L,2,4,LAC,Los Angeles Lakers,W,120,97
2014-04-09,ANA,San Jose Sharks,W,5,2,LAC,Oklahoma City Thunder,L,101,107
2014-04-12,ANA,Los Angeles Kings,W,4,3,LAC,Sacramento Kings,W,117,101
2014-10-30,ANA,St. Louis Blues,L,0,2,LAC,Oklahoma City Thunder,W,93,90
2014-10-31,ANA,Dallas Stars,W,2,1,LAC,Los Angeles Lakers,W,118,111
2014-11-02,ANA,Colorado Avalanche,W,3,2,LAC,Sacramento Kings,L,92,98
2014-11-05,ANA,New York Islanders,L,2,3,LAC,Golden State Warriors,L,104,121
2014-11-15,ANA,Los Angeles Kings,L,2,3,LAC,Phoenix Suns,W,120,107
2014-11-20,ANA,Vancouver Canucks,W,4,3,LAC,Miami Heat,W,110,93
2014-11-23,ANA,Arizona Coyotes,W,2,1,LAC,Memphis Grizzlies,L,91,107
2014-11-28,ANA,Chicago Blackhawks,L,1,4,LAC,Houston Rockets,W,102,85
2014-11-29,ANA,San Jose Sharks,L,4,6,LAC,Utah Jazz,W,112,96
2014-12-01,ANA,Boston Bruins,W,3,2,LAC,Minnesota Timberwolves,W,127,101
2014-12-03,ANA,Philadelphia Flyers,W,5,4,LAC,Orlando Magic,W,114,86
2014-12-10,ANA,Edmonton Oilers,W,2,1,LAC,Indiana Pacers,W,103,96
2014-12-12,ANA,Edmonton Oilers,W,4,2,LAC,Washington Wizards,L,96,104
2014-12-13,ANA,Winnipeg Jets,W,4,1,LAC,Milwaukee Bucks,L,106,111
2014-12-19,ANA,Ottawa Senators,L,2,6,LAC,Denver Nuggets,L,106,109
2014-12-22,ANA,San Jose Sharks,W,3,2,LAC,San Antonio Spurs,L,118,125
2014-12-27,ANA,Arizona Coyotes,L,1,2,LAC,Toronto Raptors,L,98,110
2014-12-31,ANA,San Jose Sharks,L,0,3,LAC,New York Knicks,W,99,78
2015-01-07,ANA,New York Rangers,L,1,4,LAC,Los Angeles Lakers,W,114,89
2015-01-11,ANA,Winnipeg Jets,W,5,4,LAC,Miami Heat,L,90,104
2015-01-14,ANA,Toronto Maple Leafs,W,4,0,LAC,Portland Trail Blazers,W,100,94
2015-01-16,ANA,New Jersey Devils,W,5,1,LAC,Cleveland Cavaliers,L,121,126
2015-01-17,ANA,Los Angeles Kings,W,3,2,LAC,Sacramento Kings,W,117,108
2015-01-30,ANA,Chicago Blackhawks,L,1,4,LAC,New Orleans Pelicans,L,103,108
2015-02-05,ANA,Nashville Predators,W,5,2,LAC,Cleveland Cavaliers,L,94,105
2015-02-06,ANA,Washington Capitals,L,2,3,LAC,Toronto Raptors,L,107,123
2015-02-08,ANA,Tampa Bay Lightning,L,3,5,LAC,Oklahoma City Thunder,L,108,131
2015-02-21,ANA,Edmonton Oilers,W,2,1,LAC,Sacramento Kings,W,126,99
2015-02-23,ANA,Detroit Red Wings,W,4,3,LAC,Memphis Grizzlies,L,87,90
2015-02-25,ANA,Ottawa Senators,L,0,3,LAC,Houston Rockets,L,105,110
2015-02-27,ANA,Los Angeles Kings,W,4,2,LAC,Memphis Grizzlies,W,97,79
2015-03-01,ANA,Dallas Stars,W,3,1,LAC,Chicago Bulls,W,96,86
2015-03-04,ANA,Montreal Canadiens,W,3,1,LAC,Portland Trail Blazers,L,93,98
2015-03-09,ANA,Vancouver Canucks,L,1,2,LAC,Minnesota Timberwolves,W,89,76
2015-03-11,ANA,Calgary Flames,L,3,6,LAC,Oklahoma City Thunder,W,120,108
2015-03-13,ANA,Minnesota Wild,W,2,1,LAC,Dallas Mavericks,L,99,129
2015-03-15,ANA,Nashville Predators,W,4,2,LAC,Houston Rockets,L,98,100
2015-03-18,ANA,Los Angeles Kings,W,3,2,LAC,Sacramento Kings,W,116,105
2015-03-20,ANA,Colorado Avalanche,W,3,2,LAC,Washington Wizards,W,113,99
2015-03-22,ANA,New York Rangers,L,2,7,LAC,New Orleans Pelicans,W,107,100
2015-03-29,ANA,New Jersey Devils,W,2,1,LAC,Boston Celtics,W,119,106
2015-04-01,ANA,Edmonton Oilers,W,5,1,LAC,Portland Trail Blazers,W,126,122
2015-04-11,ANA,Arizona Coyotes,W,2,1,LAC,Memphis Grizzlies,W,94,86
2015-10-29,ANA,St. Louis Blues,L,1,2,LAC,Dallas Mavericks,W,104,88
2015-11-04,ANA,Florida Panthers,W,3,2,LAC,Golden State Warriors,L,108,112
2015-11-07,ANA,San Jose Sharks,W,1,0,LAC,Houston Rockets,L,105,109
2015-11-09,ANA,Arizona Coyotes,L,3,4,LAC,Memphis Grizzlies,W,94,92
