Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-11-28,BOS,Winnipeg Jets,W,2,1,BOS,Chicago Bulls,L,102,109
2014-12-02,BOS,Los Angeles Kings,L,0,2,BOS,Atlanta Hawks,L,105,109
2014-12-17,BOS,Minnesota Wild,W,3,2,BOS,Orlando Magic,W,109,92
2014-12-19,BOS,Winnipeg Jets,L,1,2,BOS,Minnesota Timberwolves,W,114,98
2014-12-21,BOS,Buffalo Sabres,W,4,3,BOS,Miami Heat,L,84,100
2014-12-23,BOS,Nashville Predators,W,5,3,BOS,Orlando Magic,L,95,100
2014-12-27,BOS,Columbus Blue Jackets,L,2,6,BOS,Washington Wizards,L,88,101
2014-12-31,BOS,Toronto Maple Leafs,L,3,4,BOS,Sacramento Kings,W,106,84
2015-01-03,BOS,Ottawa Senators,L,2,3,BOS,Chicago Bulls,L,104,109
2015-01-07,BOS,Pittsburgh Penguins,W,3,2,BOS,Brooklyn Nets,W,89,81
2015-01-10,BOS,Philadelphia Flyers,W,3,1,BOS,Toronto Raptors,L,96,109
2015-02-04,BOS,New York Rangers,L,2,3,BOS,Denver Nuggets,W,104,100
2015-02-07,BOS,New York Islanders,W,2,1,BOS,Milwaukee Bucks,L,93,96
2015-02-20,BOS,St. Louis Blues,L,1,5,BOS,Sacramento Kings,L,101,109
2015-02-22,BOS,Chicago Blackhawks,W,6,2,BOS,Los Angeles Lakers,L,111,118
2015-02-27,BOS,New Jersey Devils,W,3,2,BOS,Charlotte Hornets,W,106,98
2015-03-08,BOS,Detroit Red Wings,W,5,3,BOS,Orlando Magic,L,98,103
2015-03-14,BOS,Pittsburgh Penguins,W,2,0,BOS,Indiana Pacers,W,93,89
2015-03-22,BOS,Tampa Bay Lightning,L,3,5,BOS,Detroit Pistons,L,97,105
2015-03-29,BOS,Carolina Hurricanes,W,2,1,BOS,Los Angeles Clippers,L,106,119
2015-04-04,BOS,Toronto Maple Leafs,W,2,1,BOS,Toronto Raptors,W,117,116
2015-04-08,BOS,Washington Capitals,L,0,3,BOS,Detroit Pistons,W,113,103
2015-10-30,BOS,Florida Panthers,W,3,1,BOS,Toronto Raptors,L,103,113
2015-11-25,BOS,Detroit Red Wings,W,3,2,BOS,Philadelphia 76ers,W,84,80
2015-11-27,BOS,New York Rangers,W,4,3,BOS,Washington Wizards,W,111,78
2015-12-05,BOS,Vancouver Canucks,W,4,0,BOS,San Antonio Spurs,L,105,108
2015-12-07,BOS,Nashville Predators,L,2,3,BOS,New Orleans Pelicans,W,111,93
2015-12-09,BOS,Montreal Canadiens,W,3,1,BOS,Chicago Bulls,W,105,100
2015-12-12,BOS,Florida Panthers,W,3,1,BOS,Charlotte Hornets,W,98,93
2015-12-16,BOS,Pittsburgh Penguins,W,3,0,BOS,Detroit Pistons,L,116,119
2015-12-18,BOS,Pittsburgh Penguins,W,6,2,BOS,Atlanta Hawks,L,101,109
2015-12-26,BOS,Buffalo Sabres,L,3,6,BOS,Detroit Pistons,W,99,93
2015-12-27,BOS,Ottawa Senators,L,1,3,BOS,New York Knicks,W,100,91
2016-01-13,BOS,Philadelphia Flyers,L,2,3,BOS,Indiana Pacers,W,103,94
2016-01-15,BOS,Buffalo Sabres,W,4,1,BOS,Phoenix Suns,W,117,103
2016-01-16,BOS,Toronto Maple Leafs,W,3,2,BOS,Washington Wizards,W,119,117
2016-01-25,BOS,Philadelphia Flyers,W,3,2,BOS,Washington Wizards,W,116,91
2016-02-02,BOS,Toronto Maple Leafs,L,3,4,BOS,New York Knicks,W,97,89
2016-02-09,BOS,Los Angeles Kings,L,2,9,BOS,Milwaukee Bucks,L,111,112
2016-02-22,BOS,Columbus Blue Jackets,L,4,6,BOS,Minnesota Timberwolves,L,122,124
2016-03-05,BOS,Washington Capitals,L,1,2,BOS,Cleveland Cavaliers,L,103,120
2016-03-15,BOS,San Jose Sharks,L,2,3,BOS,Indiana Pacers,L,98,103
2016-03-18,BOS,Anaheim Ducks,L,0,4,BOS,Toronto Raptors,L,91,105
2016-03-23,BOS,New York Rangers,L,2,5,BOS,Toronto Raptors,W,91,79
2016-03-26,BOS,Toronto Maple Leafs,W,3,1,BOS,Phoenix Suns,W,102,99
2016-04-01,BOS,St. Louis Blues,W,6,5,BOS,Golden State Warriors,W,109,106
2016-04-03,BOS,Chicago Blackhawks,L,4,6,BOS,Los Angeles Lakers,W,107,100
2016-04-09,BOS,Ottawa Senators,L,1,6,BOS,Atlanta Hawks,L,107,118
2016-10-26,BOS,New York Rangers,L,2,5,BOS,Brooklyn Nets,W,122,117
2016-10-29,BOS,Detroit Red Wings,W,1,0,BOS,Charlotte Hornets,W,104,98
2016-11-03,BOS,Tampa Bay Lightning,W,4,3,BOS,Cleveland Cavaliers,L,122,128
2016-11-12,BOS,Arizona Coyotes,W,2,1,BOS,Indiana Pacers,W,105,99
2016-11-19,BOS,Winnipeg Jets,W,4,1,BOS,Detroit Pistons,W,94,92
2016-11-25,BOS,Calgary Flames,L,1,2,BOS,San Antonio Spurs,L,103,109
2016-12-03,BOS,Buffalo Sabres,W,2,1,BOS,Philadelphia 76ers,W,107,106
2016-12-05,BOS,Florida Panthers,W,4,3,BOS,Houston Rockets,L,106,107
2016-12-07,BOS,Washington Capitals,L,3,4,BOS,Orlando Magic,W,117,87
2016-12-14,BOS,Pittsburgh Penguins,L,3,4,BOS,San Antonio Spurs,L,101,108
2016-12-18,BOS,Los Angeles Kings,W,1,0,BOS,Miami Heat,W,105,95
2016-12-20,BOS,New York Islanders,L,2,4,BOS,Memphis Grizzlies,W,112,109
2016-12-22,BOS,Florida Panthers,W,3,1,BOS,Indiana Pacers,W,109,102
2016-12-23,BOS,Carolina Hurricanes,L,2,3,BOS,Oklahoma City Thunder,L,112,117
2016-12-27,BOS,Columbus Blue Jackets,L,3,4,BOS,Memphis Grizzlies,W,113,103
2016-12-29,BOS,Buffalo Sabres,W,4,2,BOS,Cleveland Cavaliers,L,118,124
2017-01-07,BOS,Florida Panthers,W,4,0,BOS,New Orleans Pelicans,W,117,108
2017-01-10,BOS,St. Louis Blues,W,5,3,BOS,Toronto Raptors,L,106,114
2017-01-16,BOS,New York Islanders,L,0,4,BOS,Charlotte Hornets,W,108,98
2017-01-18,BOS,Detroit Red Wings,L,5,6,BOS,New York Knicks,L,106,117
2017-01-24,BOS,Detroit Red Wings,W,4,3,BOS,Washington Wizards,L,108,123
2017-02-01,BOS,Washington Capitals,L,3,5,BOS,Toronto Raptors,W,109,104
2017-02-09,BOS,San Jose Sharks,W,6,3,BOS,Portland Trail Blazers,W,120,111
2017-02-11,BOS,Vancouver Canucks,W,4,3,BOS,Utah Jazz,W,112,104
2017-02-26,BOS,Dallas Stars,W,6,3,BOS,Detroit Pistons,W,104,98
2017-03-06,BOS,Ottawa Senators,L,2,4,BOS,Los Angeles Clippers,L,102,116
2017-03-08,BOS,Detroit Red Wings,W,6,1,BOS,Golden State Warriors,W,99,86
2017-03-15,BOS,Calgary Flames,W,5,2,BOS,Minnesota Timberwolves,W,117,104
2017-03-20,BOS,Toronto Maple Leafs,L,2,4,BOS,Washington Wizards,W,110,102
