Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2015-01-10,NYI,Columbus Blue Jackets,W,5,2,BRK,Detroit Pistons,L,93,98
2015-01-16,NYI,Pittsburgh Penguins,W,6,3,BRK,Washington Wizards,W,102,80
2015-01-17,NYI,Montreal Canadiens,L,4,6,BRK,Washington Wizards,L,90,99
2015-02-07,NYI,Boston Bruins,L,1,2,BRK,Washington Wizards,L,77,114
2015-02-10,NYI,Edmonton Oilers,W,3,2,BRK,Memphis Grizzlies,L,86,95
2015-02-27,NYI,Calgary Flames,W,2,1,BRK,Houston Rockets,L,98,102
2015-02-28,NYI,Carolina Hurricanes,L,3,5,BRK,Dallas Mavericks,W,104,94
2015-03-10,NYI,New York Rangers,L,1,2,BRK,New Orleans Pelicans,L,91,111
2015-03-14,NYI,Montreal Canadiens,L,1,3,BRK,Philadelphia 76ers,W,94,87
2015-03-21,NYI,New Jersey Devils,W,3,0,BRK,Indiana Pacers,W,123,111
2015-03-29,NYI,Detroit Red Wings,W,5,4,BRK,Los Angeles Lakers,W,107,99
2015-04-04,NYI,Buffalo Sabres,W,3,0,BRK,Atlanta Hawks,L,99,131
2015-04-10,NYI,Pittsburgh Penguins,W,3,1,BRK,Washington Wizards,W,117,80
2015-10-31,NYI,New Jersey Devils,L,2,3,BRK,Memphis Grizzlies,L,91,101
2015-11-13,NYI,Anaheim Ducks,W,4,1,BRK,Sacramento Kings,L,109,111
2015-11-20,NYI,Montreal Canadiens,L,3,5,BRK,Boston Celtics,L,95,120
2015-11-22,NYI,Montreal Canadiens,L,2,4,BRK,Boston Celtics,W,111,101
2015-11-25,NYI,Philadelphia Flyers,W,3,1,BRK,Oklahoma City Thunder,L,99,110
2015-11-28,NYI,Tampa Bay Lightning,W,3,2,BRK,Cleveland Cavaliers,L,88,90
2015-12-04,NYI,St. Louis Blues,W,2,1,BRK,New York Knicks,L,91,108
2015-12-08,NYI,Philadelphia Flyers,W,4,3,BRK,Houston Rockets,W,110,105
2015-12-12,NYI,Columbus Blue Jackets,W,3,2,BRK,Los Angeles Clippers,L,100,105
2015-12-21,NYI,Anaheim Ducks,W,5,2,BRK,Chicago Bulls,W,105,102
2016-01-02,NYI,Pittsburgh Penguins,L,2,5,BRK,Boston Celtics,W,100,97
2016-01-09,NYI,Philadelphia Flyers,L,0,4,BRK,Detroit Pistons,L,89,103
2016-01-22,NYI,Ottawa Senators,W,5,2,BRK,Utah Jazz,L,86,108
2016-02-06,NYI,Detroit Red Wings,L,1,5,BRK,Philadelphia 76ers,L,98,103
2016-02-19,NYI,New Jersey Devils,W,1,0,BRK,New York Knicks,W,109,98
2016-02-23,NYI,Minnesota Wild,W,4,1,BRK,Portland Trail Blazers,L,104,112
2016-02-25,NYI,Calgary Flames,W,2,1,BRK,Phoenix Suns,W,116,106
2016-03-01,NYI,Vancouver Canucks,W,3,2,BRK,Los Angeles Lakers,L,101,107
2016-03-08,NYI,Pittsburgh Penguins,W,2,1,BRK,Toronto Raptors,L,99,104
2016-03-15,NYI,Pittsburgh Penguins,L,1,2,BRK,Philadelphia 76ers,W,131,114
2016-03-17,NYI,Nashville Predators,L,2,4,BRK,Chicago Bulls,L,102,118
2016-03-19,NYI,Dallas Stars,L,0,3,BRK,Detroit Pistons,L,103,115
2016-03-26,NYI,Carolina Hurricanes,W,4,3,BRK,Indiana Pacers,W,120,110
2016-03-29,NYI,Carolina Hurricanes,W,2,1,BRK,Orlando Magic,L,105,139
2016-03-31,NYI,Columbus Blue Jackets,W,4,3,BRK,Cleveland Cavaliers,L,87,107
2016-04-10,NYI,Philadelphia Flyers,L,2,5,BRK,Indiana Pacers,L,105,129
2016-10-26,NYI,Montreal Canadiens,L,2,3,BRK,Boston Celtics,L,117,122
2016-11-12,NYI,Florida Panthers,L,2,3,BRK,Phoenix Suns,W,122,104
2016-11-14,NYI,Tampa Bay Lightning,L,0,4,BRK,Los Angeles Clippers,L,95,127
2016-11-18,NYI,Pittsburgh Penguins,L,2,3,BRK,Oklahoma City Thunder,L,105,124
2016-11-23,NYI,Los Angeles Kings,L,2,4,BRK,Boston Celtics,L,92,111
2016-11-25,NYI,San Jose Sharks,L,2,3,BRK,Indiana Pacers,L,97,118
2016-12-01,NYI,Washington Capitals,W,3,0,BRK,Milwaukee Bucks,L,93,111
2016-12-10,NYI,Columbus Blue Jackets,L,2,6,BRK,San Antonio Spurs,L,101,130
2016-12-16,NYI,Buffalo Sabres,L,2,3,BRK,Orlando Magic,L,111,118
2016-12-18,NYI,Ottawa Senators,L,2,6,BRK,Philadelphia 76ers,L,107,108
2016-12-20,NYI,Boston Bruins,W,4,2,BRK,Toronto Raptors,L,104,116
2016-12-23,NYI,Buffalo Sabres,W,5,1,BRK,Cleveland Cavaliers,L,99,119
2017-01-06,NYI,Colorado Avalanche,L,1,2,BRK,Cleveland Cavaliers,L,108,116
2017-01-13,NYI,Florida Panthers,W,5,2,BRK,Toronto Raptors,L,113,132
2017-01-21,NYI,Los Angeles Kings,W,4,2,BRK,Charlotte Hornets,L,105,112
2017-02-03,NYI,Detroit Red Wings,L,4,5,BRK,Indiana Pacers,L,97,106
2017-02-25,NYI,Columbus Blue Jackets,L,0,7,BRK,Golden State Warriors,L,95,112
2017-03-03,NYI,Chicago Blackhawks,L,1,2,BRK,Utah Jazz,L,97,112
2017-03-14,NYI,Carolina Hurricanes,W,3,2,BRK,Oklahoma City Thunder,L,104,122
2017-03-16,NYI,Winnipeg Jets,L,2,4,BRK,New York Knicks,W,121,110
2017-03-24,NYI,Pittsburgh Penguins,W,4,3,BRK,Washington Wizards,L,108,129
2017-03-30,NYI,Philadelphia Flyers,L,3,6,BRK,Detroit Pistons,L,89,90
2017-04-02,NYI,Buffalo Sabres,W,4,2,BRK,Atlanta Hawks,W,91,82
2017-04-04,NYI,Nashville Predators,W,2,1,BRK,Philadelphia 76ers,W,141,118
2017-04-06,NYI,Carolina Hurricanes,W,3,0,BRK,Orlando Magic,L,107,115
2017-04-08,NYI,New Jersey Devils,W,4,2,BRK,Chicago Bulls,W,107,106
2017-10-24,NYI,Arizona Coyotes,W,5,3,BRK,Orlando Magic,L,121,125
2017-11-07,NYI,Edmonton Oilers,L,1,2,BRK,Denver Nuggets,L,104,112
2017-11-10,NYI,Dallas Stars,L,0,5,BRK,Portland Trail Blazers,W,101,97
2017-11-11,NYI,St. Louis Blues,W,5,2,BRK,Utah Jazz,L,106,114
2017-11-19,NYI,Carolina Hurricanes,L,2,4,BRK,Golden State Warriors,L,111,118
2017-11-22,NYI,Philadelphia Flyers,W,4,3,BRK,Cleveland Cavaliers,L,109,119
2017-11-24,NYI,Philadelphia Flyers,W,5,4,BRK,Portland Trail Blazers,L,125,127
2017-12-04,NYI,Florida Panthers,W,5,4,BRK,Atlanta Hawks,W,110,90
2017-12-07,NYI,Pittsburgh Penguins,L,3,4,BRK,Oklahoma City Thunder,W,100,95
2017-12-09,NYI,Boston Bruins,L,1,3,BRK,Miami Heat,L,89,101
2017-12-14,NYI,Columbus Blue Jackets,L,4,6,BRK,New York Knicks,L,104,111
2017-12-23,NYI,Winnipeg Jets,W,5,2,BRK,Indiana Pacers,L,119,123
2017-12-27,NYI,Buffalo Sabres,W,3,2,BRK,New Orleans Pelicans,L,113,128
2017-12-29,NYI,Winnipeg Jets,L,2,4,BRK,Miami Heat,W,111,87
2017-12-31,NYI,Colorado Avalanche,L,1,6,BRK,Boston Celtics,L,105,108
2018-01-13,NYI,New York Rangers,W,7,2,BRK,Washington Wizards,L,113,119
2018-01-15,NYI,Montreal Canadiens,W,5,4,BRK,New York Knicks,L,104,119
2018-01-30,NYI,Florida Panthers,L,1,4,BRK,New York Knicks,L,95,111
2018-01-31,NYI,Toronto Maple Leafs,L,0,5,BRK,Philadelphia 76ers,W,116,108
2018-02-22,NYI,Toronto Maple Leafs,L,3,4,BRK,Charlotte Hornets,L,96,111
2018-03-08,NYI,Edmonton Oilers,L,1,2,BRK,Charlotte Hornets,W,125,111
2018-03-11,NYI,Calgary Flames,W,5,2,BRK,Philadelphia 76ers,L,97,120
2018-03-16,NYI,Washington Capitals,L,3,6,BRK,Philadelphia 76ers,L,116,120
2018-03-31,NYI,New Jersey Devils,L,3,4,BRK,Miami Heat,W,110,109
2018-04-03,NYI,Philadelphia Flyers,W,5,4,BRK,Philadelphia 76ers,L,95,121
2018-04-05,NYI,New York Rangers,W,2,1,BRK,Milwaukee Bucks,W,119,111
2018-04-07,NYI,Detroit Red Wings,W,4,3,BRK,Chicago Bulls,W,124,96
2018-10-17,NYI,Anaheim Ducks,L,1,4,BRK,Detroit Pistons,L,100,103
2018-10-20,NYI,San Jose Sharks,L,1,4,BRK,Indiana Pacers,L,112,132
2018-10-24,NYI,Florida Panthers,L,2,3,BRK,Cleveland Cavaliers,W,102,86
2018-10-28,NYI,Carolina Hurricanes,W,2,1,BRK,Golden State Warriors,L,114,120
2018-11-10,NYI,Florida Panthers,L,2,4,BRK,Golden State Warriors,L,100,116
2018-11-21,NYI,New York Rangers,L,0,5,BRK,Dallas Mavericks,L,113,119
2018-11-23,NYI,New Jersey Devils,W,4,3,BRK,Minnesota Timberwolves,L,102,112
2018-12-01,NYI,Columbus Blue Jackets,W,3,2,BRK,Washington Wizards,L,88,102
2018-12-08,NYI,Detroit Red Wings,W,3,2,BRK,New York Knicks,W,112,104
2018-12-12,NYI,Vegas Golden Knights,L,2,3,BRK,Philadelphia 76ers,W,127,124
2018-12-18,NYI,Arizona Coyotes,W,3,1,BRK,Los Angeles Lakers,W,115,110
2018-12-23,NYI,Dallas Stars,W,3,1,BRK,Phoenix Suns,W,111,103
2018-12-28,NYI,Ottawa Senators,W,6,3,BRK,Charlotte Hornets,L,87,100
2018-12-29,NYI,Toronto Maple Leafs,W,4,0,BRK,Milwaukee Bucks,L,115,129
2019-01-18,NYI,Washington Capitals,W,2,0,BRK,Orlando Magic,W,117,115
2019-02-02,NYI,Los Angeles Kings,W,4,2,BRK,Orlando Magic,L,89,102
2019-02-21,NYI,Edmonton Oilers,L,3,4,BRK,Portland Trail Blazers,L,99,113
2019-02-23,NYI,Vancouver Canucks,W,4,0,BRK,Charlotte Hornets,W,117,115
2019-03-01,NYI,Washington Capitals,L,1,3,BRK,Charlotte Hornets,L,112,123
2019-03-09,NYI,Philadelphia Flyers,L,2,5,BRK,Atlanta Hawks,W,114,112
2019-03-11,NYI,Columbus Blue Jackets,W,2,0,BRK,Detroit Pistons,W,103,75
2019-03-16,NYI,Detroit Red Wings,L,1,2,BRK,Utah Jazz,L,98,114
2019-03-17,NYI,Minnesota Wild,W,3,2,BRK,Los Angeles Clippers,L,116,119
2019-03-19,NYI,Boston Bruins,L,0,5,BRK,Sacramento Kings,W,123,121
