Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2015-02-20,COL,Chicago Blackhawks,W,4,1,DEN,Milwaukee Bucks,L,81,89
2015-02-22,COL,Tampa Bay Lightning,W,5,4,DEN,Oklahoma City Thunder,L,94,119
2015-02-27,COL,Dallas Stars,W,5,4,DEN,Utah Jazz,L,82,104
2015-03-04,COL,Pittsburgh Penguins,W,3,1,DEN,Minnesota Timberwolves,W,100,85
2015-03-07,COL,Columbus Blue Jackets,W,4,0,DEN,Houston Rockets,L,100,114
2015-03-19,COL,Arizona Coyotes,W,5,2,DEN,Houston Rockets,L,108,118
2015-03-20,COL,Anaheim Ducks,L,2,3,DEN,Miami Heat,L,91,108
2015-03-25,COL,Edmonton Oilers,L,3,4,DEN,Philadelphia 76ers,L,85,99
2015-03-28,COL,Buffalo Sabres,W,5,3,DEN,Portland Trail Blazers,L,114,120
2015-04-01,COL,San Jose Sharks,L,1,5,DEN,Utah Jazz,L,84,98
2015-04-03,COL,Anaheim Ducks,W,4,2,DEN,San Antonio Spurs,L,93,123
2015-04-04,COL,Los Angeles Kings,L,1,3,DEN,Los Angeles Clippers,L,92,107
2015-10-30,COL,Carolina Hurricanes,L,2,3,DEN,Minnesota Timberwolves,L,78,95
2015-11-01,COL,San Jose Sharks,L,3,4,DEN,Oklahoma City Thunder,L,93,117
2015-11-03,COL,Calgary Flames,W,6,3,DEN,Los Angeles Lakers,W,120,109
2015-11-05,COL,Arizona Coyotes,L,2,4,DEN,Utah Jazz,L,84,96
2015-11-06,COL,New York Rangers,L,1,2,DEN,Golden State Warriors,L,104,119
2015-11-14,COL,Montreal Canadiens,W,6,1,DEN,Phoenix Suns,L,81,105
2015-11-17,COL,Toronto Maple Leafs,L,1,5,DEN,New Orleans Pelicans,W,115,98
2015-11-28,COL,Winnipeg Jets,W,5,3,DEN,Dallas Mavericks,L,81,92
2015-11-30,COL,New York Islanders,L,3,5,DEN,Milwaukee Bucks,L,74,92
2015-12-03,COL,New York Rangers,W,2,1,DEN,Toronto Raptors,W,106,105
2015-12-05,COL,Minnesota Wild,L,0,3,DEN,Philadelphia 76ers,W,108,105
2015-12-15,COL,Chicago Blackhawks,W,3,0,DEN,Minnesota Timberwolves,W,112,100
2015-12-27,COL,Arizona Coyotes,L,1,2,DEN,Oklahoma City Thunder,L,112,122
2016-01-02,COL,Calgary Flames,L,0,4,DEN,Golden State Warriors,L,108,111
