Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-12-14,LAK,Toronto Maple Leafs,L,3,4,LAL,Minnesota Timberwolves,W,100,94
2014-12-30,LAK,Edmonton Oilers,L,2,3,LAL,Denver Nuggets,W,111,103
2015-01-19,LAK,Calgary Flames,L,1,2,LAL,Phoenix Suns,L,100,115
2015-01-21,LAK,San Jose Sharks,L,2,4,LAL,New Orleans Pelicans,L,80,96
2015-02-27,LAK,Anaheim Ducks,L,2,4,LAL,Milwaukee Bucks,W,101,93
2015-03-01,LAK,Winnipeg Jets,L,2,5,LAL,Oklahoma City Thunder,L,101,108
2015-03-03,LAK,Edmonton Oilers,W,5,2,LAL,Charlotte Hornets,L,103,104
2015-03-10,LAK,Colorado Avalanche,W,5,2,LAL,Detroit Pistons,W,93,85
2015-03-12,LAK,Vancouver Canucks,W,4,0,LAL,New York Knicks,L,94,101
2015-03-16,LAK,Arizona Coyotes,W,1,0,LAL,Golden State Warriors,L,105,108
2015-03-24,LAK,New York Rangers,W,4,2,LAL,Oklahoma City Thunder,L,117,127
2015-03-30,LAK,Chicago Blackhawks,L,1,4,LAL,Philadelphia 76ers,W,113,111
2015-04-07,LAK,Edmonton Oilers,L,2,4,LAL,Los Angeles Clippers,L,100,105
2015-11-03,LAK,St. Louis Blues,W,3,0,LAL,Denver Nuggets,L,109,120
2015-11-10,LAK,Arizona Coyotes,L,2,3,LAL,Miami Heat,L,88,101
2015-11-20,LAK,Detroit Red Wings,L,2,3,LAL,Toronto Raptors,L,91,102
2015-11-22,LAK,Carolina Hurricanes,L,3,4,LAL,Portland Trail Blazers,L,93,107
2015-11-28,LAK,Chicago Blackhawks,W,3,2,LAL,Portland Trail Blazers,L,96,108
2015-12-01,LAK,Vancouver Canucks,W,2,1,LAL,Philadelphia 76ers,L,91,103
2015-12-06,LAK,Tampa Bay Lightning,W,3,1,LAL,Detroit Pistons,L,91,111
2015-12-11,LAK,Pittsburgh Penguins,W,3,2,LAL,San Antonio Spurs,L,87,109
2015-12-12,LAK,Buffalo Sabres,L,1,2,LAL,Houston Rockets,L,97,126
2015-12-17,LAK,Montreal Canadiens,W,3,0,LAL,Houston Rockets,L,87,107
2015-12-19,LAK,Toronto Maple Leafs,L,0,5,LAL,Oklahoma City Thunder,L,78,118
