Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-11-01,MIN,Dallas Stars,W,4,1,MIN,Chicago Bulls,L,105,106
2014-11-08,MIN,Montreal Canadiens,L,1,4,MIN,Miami Heat,L,92,102
2014-11-15,MIN,Dallas Stars,W,2,1,MIN,Dallas Mavericks,L,117,131
2014-11-22,MIN,Tampa Bay Lightning,L,1,2,MIN,Sacramento Kings,L,101,113
2014-11-26,MIN,Los Angeles Kings,L,0,4,MIN,Milwaukee Bucks,L,86,103
2014-11-28,MIN,Dallas Stars,W,5,4,MIN,Los Angeles Lakers,W,120,119
2014-12-03,MIN,Montreal Canadiens,W,2,1,MIN,Philadelphia 76ers,L,77,85
2014-12-05,MIN,Anaheim Ducks,L,4,5,MIN,Houston Rockets,L,112,114
2014-12-16,MIN,Chicago Blackhawks,L,3,5,MIN,Washington Wizards,L,95,109
2014-12-23,MIN,Philadelphia Flyers,L,2,5,MIN,Cleveland Cavaliers,L,104,125
2014-12-27,MIN,Winnipeg Jets,L,3,4,MIN,Golden State Warriors,L,97,110
2015-01-03,MIN,Dallas Stars,L,1,7,MIN,Utah Jazz,L,89,101
2015-01-10,MIN,Nashville Predators,L,1,3,MIN,San Antonio Spurs,L,93,108
2015-01-13,MIN,Pittsburgh Penguins,L,2,7,MIN,Indiana Pacers,W,110,101
2015-01-17,MIN,Arizona Coyotes,W,3,1,MIN,Denver Nuggets,W,113,105
2015-01-19,MIN,Columbus Blue Jackets,L,1,3,MIN,Charlotte Hornets,L,80,105
2015-02-09,MIN,Vancouver Canucks,W,5,3,MIN,Atlanta Hawks,L,105,117
2015-02-20,MIN,Edmonton Oilers,W,4,0,MIN,Phoenix Suns,W,111,109
2015-02-28,MIN,Colorado Avalanche,W,3,1,MIN,Memphis Grizzlies,L,97,101
2015-03-13,MIN,Anaheim Ducks,L,1,2,MIN,Oklahoma City Thunder,L,99,113
2015-03-19,MIN,Washington Capitals,L,2,3,MIN,New York Knicks,W,95,92
2015-03-23,MIN,Toronto Maple Leafs,W,2,1,MIN,Utah Jazz,W,106,104
2015-03-27,MIN,Calgary Flames,W,4,2,MIN,Houston Rockets,L,110,120
2015-04-07,MIN,Chicago Blackhawks,W,2,1,MIN,Sacramento Kings,L,111,116
2015-04-11,MIN,St. Louis Blues,L,2,4,MIN,Golden State Warriors,L,101,110
2015-10-30,MIN,Chicago Blackhawks,W,5,4,MIN,Denver Nuggets,W,95,78
2015-11-05,MIN,Nashville Predators,L,2,3,MIN,Miami Heat,L,84,96
2015-11-07,MIN,Tampa Bay Lightning,W,1,0,MIN,Chicago Bulls,W,102,93
2015-11-10,MIN,Winnipeg Jets,W,5,3,MIN,Charlotte Hornets,L,95,104
