Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-04-05,WSH,New York Islanders,W,4,3,WAS,Chicago Bulls,L,78,96
2014-04-11,WSH,Chicago Blackhawks,W,4,0,WAS,Orlando Magic,W,96,86
2014-10-29,WSH,Detroit Red Wings,L,2,4,WAS,Miami Heat,L,95,107
2014-11-01,WSH,Tampa Bay Lightning,L,3,4,WAS,Milwaukee Bucks,W,108,97
2014-11-04,WSH,Calgary Flames,L,3,4,WAS,New York Knicks,W,98,83
2014-11-07,WSH,Chicago Blackhawks,W,3,2,WAS,Toronto Raptors,L,84,103
2014-11-08,WSH,Carolina Hurricanes,W,4,3,WAS,Indiana Pacers,W,97,90
2014-11-15,WSH,St. Louis Blues,L,1,4,WAS,Orlando Magic,W,98,93
2014-11-22,WSH,Buffalo Sabres,L,1,2,WAS,Milwaukee Bucks,W,111,100
2014-11-26,WSH,New York Islanders,L,2,3,WAS,Cleveland Cavaliers,L,87,113
2014-11-29,WSH,Toronto Maple Leafs,L,2,6,WAS,New Orleans Pelicans,W,83,80
2014-12-16,WSH,Florida Panthers,L,1,2,WAS,Minnesota Timberwolves,W,109,95
2014-12-23,WSH,New York Rangers,L,2,4,WAS,Chicago Bulls,L,91,99
2014-12-27,WSH,Pittsburgh Penguins,W,3,0,WAS,Boston Celtics,W,101,88
2014-12-29,WSH,New York Islanders,L,3,4,WAS,Houston Rockets,W,104,103
2015-01-07,WSH,Toronto Maple Leafs,W,6,2,WAS,New York Knicks,W,101,91
2015-01-14,WSH,Philadelphia Flyers,W,1,0,WAS,Chicago Bulls,W,105,99
2015-01-16,WSH,Nashville Predators,L,3,4,WAS,Brooklyn Nets,L,80,102
2015-01-17,WSH,Dallas Stars,L,4,5,WAS,Brooklyn Nets,W,99,90
2015-01-27,WSH,Columbus Blue Jackets,L,3,4,WAS,Los Angeles Lakers,W,98,92
2015-01-28,WSH,Pittsburgh Penguins,W,4,0,WAS,Phoenix Suns,L,98,106
2015-01-31,WSH,Montreal Canadiens,L,0,1,WAS,Toronto Raptors,L,116,120
2015-02-05,WSH,Ottawa Senators,W,2,1,WAS,Charlotte Hornets,L,87,94
2015-02-11,WSH,San Jose Sharks,W,5,4,WAS,Toronto Raptors,L,93,95
2015-02-22,WSH,Philadelphia Flyers,L,2,3,WAS,Detroit Pistons,L,89,106
2015-02-25,WSH,Pittsburgh Penguins,L,3,4,WAS,Minnesota Timberwolves,L,77,97
2015-02-27,WSH,Carolina Hurricanes,L,0,3,WAS,Philadelphia 76ers,L,81,89
2015-03-03,WSH,Columbus Blue Jackets,W,5,3,WAS,Chicago Bulls,L,92,97
2015-03-07,WSH,Buffalo Sabres,W,6,1,WAS,Milwaukee Bucks,L,85,91
2015-03-16,WSH,Buffalo Sabres,W,4,3,WAS,Portland Trail Blazers,W,105,97
2015-03-29,WSH,New York Rangers,W,5,2,WAS,Houston Rockets,L,91,99
2015-04-04,WSH,Ottawa Senators,L,3,4,WAS,Memphis Grizzlies,W,92,83
2015-04-08,WSH,Boston Bruins,W,3,0,WAS,Philadelphia 76ers,W,119,90
