Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-01-24,DET,Montreal Canadiens,W,4,1,DET,New Orleans Pelicans,L,101,103
2014-01-26,DET,Florida Panthers,L,4,5,DET,Dallas Mavericks,L,106,116
2014-01-28,DET,Philadelphia Flyers,L,0,5,DET,Orlando Magic,W,103,87
2014-02-03,DET,Vancouver Canucks,W,2,0,DET,Miami Heat,L,96,102
2014-02-08,DET,Tampa Bay Lightning,L,2,4,DET,Denver Nuggets,W,126,109
2014-02-26,DET,Montreal Canadiens,W,2,1,DET,San Antonio Spurs,L,110,120
2014-03-07,DET,New Jersey Devils,W,7,4,DET,Minnesota Timberwolves,L,101,114
2014-03-09,DET,New York Rangers,L,0,3,DET,Boston Celtics,L,111,118
2014-03-11,DET,Columbus Blue Jackets,L,1,4,DET,Sacramento Kings,W,99,89
2014-03-22,DET,Minnesota Wild,W,3,2,DET,Los Angeles Clippers,L,103,112
2014-03-29,DET,Toronto Maple Leafs,W,4,2,DET,Philadelphia 76ers,L,98,123
2014-04-02,DET,Boston Bruins,W,3,2,DET,Indiana Pacers,L,94,101
2014-04-04,DET,Buffalo Sabres,W,3,2,DET,Brooklyn Nets,L,104,116
2014-04-05,DET,Montreal Canadiens,L,3,5,DET,Boston Celtics,W,115,111
2014-04-08,DET,Buffalo Sabres,W,4,2,DET,Atlanta Hawks,W,102,95
2014-04-09,DET,Pittsburgh Penguins,L,3,4,DET,Cleveland Cavaliers,L,100,122
2014-04-11,DET,Carolina Hurricanes,L,1,2,DET,Chicago Bulls,L,98,106
2014-04-13,DET,St. Louis Blues,W,3,0,DET,Toronto Raptors,L,107,116
2014-10-29,DET,Washington Capitals,W,4,2,DET,Denver Nuggets,L,79,89
2014-11-05,DET,New York Rangers,L,3,4,DET,New York Knicks,W,98,95
2014-11-07,DET,New Jersey Devils,W,4,2,DET,Milwaukee Bucks,W,98,95
2014-11-09,DET,Tampa Bay Lightning,L,3,4,DET,Utah Jazz,L,96,97
2014-11-14,DET,Chicago Blackhawks,W,4,1,DET,Oklahoma City Thunder,W,96,89
2014-11-26,DET,Philadelphia Flyers,W,5,2,DET,Los Angeles Clippers,L,98,104
2014-11-28,DET,New Jersey Devils,W,5,4,DET,Milwaukee Bucks,L,88,104
2014-11-30,DET,Vancouver Canucks,W,5,3,DET,Golden State Warriors,L,93,104
2014-12-02,DET,Florida Panthers,L,3,4,DET,Los Angeles Lakers,L,96,106
2014-12-06,DET,New York Rangers,W,3,2,DET,Philadelphia 76ers,L,101,108
2014-12-07,DET,Carolina Hurricanes,W,3,1,DET,Oklahoma City Thunder,L,94,96
2014-12-12,DET,Florida Panthers,L,2,3,DET,Phoenix Suns,W,105,103
2014-12-13,DET,Toronto Maple Leafs,L,1,4,DET,Sacramento Kings,W,95,90
2014-12-19,DET,New York Islanders,L,1,2,DET,Toronto Raptors,L,100,110
2014-12-21,DET,Colorado Avalanche,L,1,2,DET,Brooklyn Nets,L,105,110
2015-01-06,DET,Edmonton Oilers,W,4,2,DET,San Antonio Spurs,W,105,104
2015-01-07,DET,Calgary Flames,W,3,2,DET,Dallas Mavericks,W,108,95
