Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-12-14,NYR,Edmonton Oilers,W,2,0,NYK,Toronto Raptors,L,90,95
2014-12-16,NYR,Calgary Flames,W,5,2,NYK,Dallas Mavericks,L,87,107
2014-12-20,NYR,Carolina Hurricanes,W,3,2,NYK,Phoenix Suns,L,90,99
2014-12-21,NYR,Carolina Hurricanes,W,1,0,NYK,Toronto Raptors,L,108,118
2014-12-27,NYR,New Jersey Devils,W,3,1,NYK,Sacramento Kings,L,129,135
2014-12-31,NYR,Florida Panthers,W,5,2,NYK,Los Angeles Clippers,L,78,99
2015-01-07,NYR,Anaheim Ducks,W,4,1,NYK,Washington Wizards,L,91,101
2015-01-08,NYR,Los Angeles Kings,W,4,3,NYK,Houston Rockets,L,96,120
2015-01-10,NYR,San Jose Sharks,W,3,1,NYK,Charlotte Hornets,L,82,110
2015-01-15,NYR,Boston Bruins,L,0,3,NYK,Milwaukee Bucks,L,79,95
2015-01-29,NYR,Montreal Canadiens,L,0,1,NYK,Indiana Pacers,L,82,103
2015-02-07,NYR,Nashville Predators,L,2,3,NYK,Golden State Warriors,L,92,106
2015-02-20,NYR,Buffalo Sabres,W,3,1,NYK,Miami Heat,L,87,111
2015-02-22,NYR,Columbus Blue Jackets,W,4,3,NYK,Cleveland Cavaliers,L,83,101
2015-02-28,NYR,Philadelphia Flyers,L,2,4,NYK,Toronto Raptors,W,103,98
2015-03-04,NYR,Detroit Red Wings,L,1,2,NYK,Indiana Pacers,L,82,105
2015-03-10,NYR,New York Islanders,W,2,1,NYK,Utah Jazz,L,82,87
2015-03-14,NYR,Buffalo Sabres,W,2,0,NYK,Golden State Warriors,L,94,125
2015-03-15,NYR,Florida Panthers,W,2,1,NYK,Phoenix Suns,L,89,102
2015-03-22,NYR,Anaheim Ducks,W,7,2,NYK,Toronto Raptors,L,89,106
2015-03-28,NYR,Boston Bruins,L,2,4,NYK,Chicago Bulls,L,80,111
2015-04-11,NYR,Washington Capitals,W,4,2,NYK,Orlando Magic,W,80,79
2015-11-06,NYR,Colorado Avalanche,W,2,1,NYK,Milwaukee Bucks,L,92,99
2015-11-10,NYR,Carolina Hurricanes,W,3,0,NYK,Toronto Raptors,W,111,109
2015-11-15,NYR,Toronto Maple Leafs,W,4,3,NYK,New Orleans Pelicans,W,95,87
2015-11-21,NYR,Florida Panthers,W,5,4,NYK,Houston Rockets,W,107,102
2015-11-23,NYR,Nashville Predators,W,3,0,NYK,Miami Heat,L,78,95
2015-11-25,NYR,Montreal Canadiens,L,1,5,NYK,Orlando Magic,L,91,100
2015-11-27,NYR,Boston Bruins,L,3,4,NYK,Miami Heat,L,78,97
2015-12-02,NYR,New York Islanders,L,1,2,NYK,Philadelphia 76ers,W,99,87
2015-12-09,NYR,Vancouver Canucks,L,1,2,NYK,Utah Jazz,L,85,106
2015-12-12,NYR,Calgary Flames,L,4,5,NYK,Portland Trail Blazers,W,112,110
2015-12-18,NYR,Winnipeg Jets,L,2,5,NYK,Philadelphia 76ers,W,107,97
2016-01-05,NYR,Dallas Stars,W,6,2,NYK,Atlanta Hawks,W,107,101
2016-01-16,NYR,Philadelphia Flyers,W,3,2,NYK,Memphis Grizzlies,L,95,103
2016-01-22,NYR,Carolina Hurricanes,W,4,1,NYK,Los Angeles Clippers,L,88,116
2016-02-02,NYR,New Jersey Devils,L,2,3,NYK,Boston Celtics,L,89,97
2016-02-04,NYR,Minnesota Wild,W,4,2,NYK,Detroit Pistons,L,105,111
2016-03-04,NYR,Washington Capitals,W,3,2,NYK,Boston Celtics,L,104,105
2016-03-08,NYR,Buffalo Sabres,W,4,2,NYK,Denver Nuggets,L,94,110
2016-03-13,NYR,Pittsburgh Penguins,L,3,5,NYK,Los Angeles Lakers,W,90,87
2016-03-16,NYR,Anaheim Ducks,W,2,1,NYK,Golden State Warriors,L,85,121
2016-03-19,NYR,San Jose Sharks,L,1,4,NYK,Washington Wizards,L,89,99
2016-03-23,NYR,Boston Bruins,W,5,2,NYK,Chicago Bulls,W,115,107
2016-03-26,NYR,Montreal Canadiens,W,5,2,NYK,Cleveland Cavaliers,L,93,107
2016-11-01,NYR,St. Louis Blues,W,5,0,NYK,Detroit Pistons,L,89,102
2016-11-06,NYR,Winnipeg Jets,W,5,2,NYK,Utah Jazz,L,109,114
2016-11-12,NYR,Calgary Flames,W,4,1,NYK,Toronto Raptors,L,107,118
2016-11-20,NYR,Florida Panthers,L,2,3,NYK,Atlanta Hawks,W,104,94
2016-11-25,NYR,Philadelphia Flyers,W,3,2,NYK,Charlotte Hornets,W,113,111
2016-12-06,NYR,New York Islanders,L,2,4,NYK,Miami Heat,W,114,103
2016-12-09,NYR,Chicago Blackhawks,W,1,0,NYK,Sacramento Kings,W,103,100
2016-12-11,NYR,New Jersey Devils,W,5,0,NYK,Los Angeles Lakers,W,118,112
2016-12-13,NYR,Chicago Blackhawks,L,1,2,NYK,Phoenix Suns,L,111,113
2016-12-15,NYR,Dallas Stars,W,2,0,NYK,Golden State Warriors,L,90,103
2016-12-17,NYR,Nashville Predators,W,2,1,NYK,Denver Nuggets,L,114,127
2016-12-20,NYR,Pittsburgh Penguins,L,2,7,NYK,Indiana Pacers,W,118,111
2016-12-31,NYR,Colorado Avalanche,W,6,2,NYK,Houston Rockets,L,122,129
2017-01-04,NYR,Philadelphia Flyers,W,5,2,NYK,Milwaukee Bucks,L,104,105
2017-01-07,NYR,Columbus Blue Jackets,W,5,4,NYK,Indiana Pacers,L,109,123
2017-01-19,NYR,Toronto Maple Leafs,W,5,2,NYK,Washington Wizards,L,110,113
2017-01-23,NYR,Los Angeles Kings,W,3,2,NYK,Indiana Pacers,W,109,103
2017-01-25,NYR,Philadelphia Flyers,L,0,2,NYK,Dallas Mavericks,L,95,103
2017-01-31,NYR,Columbus Blue Jackets,L,4,6,NYK,Washington Wizards,L,101,117
2017-02-23,NYR,Toronto Maple Leafs,W,2,1,NYK,Cleveland Cavaliers,L,104,119
2017-02-25,NYR,New Jersey Devils,W,4,3,NYK,Philadelphia 76ers,W,110,109
2017-03-06,NYR,Tampa Bay Lightning,W,1,0,NYK,Orlando Magic,W,113,105
2017-03-12,NYR,Detroit Red Wings,W,4,1,NYK,Brooklyn Nets,L,112,120
2017-03-22,NYR,New York Islanders,L,2,3,NYK,Utah Jazz,L,101,108
2017-03-25,NYR,Los Angeles Kings,W,3,0,NYK,San Antonio Spurs,L,98,106
2017-03-31,NYR,Pittsburgh Penguins,L,3,4,NYK,Miami Heat,W,98,94
2017-04-02,NYR,Philadelphia Flyers,W,4,3,NYK,Boston Celtics,L,94,110
2017-04-09,NYR,Pittsburgh Penguins,W,3,2,NYK,Toronto Raptors,L,97,110
