Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-12-14,TOR,Los Angeles Kings,W,4,3,TOR,New York Knicks,W,95,90
2014-12-21,TOR,Chicago Blackhawks,L,0,4,TOR,New York Knicks,W,118,108
2014-12-28,TOR,Florida Panthers,L,4,6,TOR,Denver Nuggets,W,116,102
2015-01-02,TOR,Minnesota Wild,L,1,3,TOR,Golden State Warriors,L,105,126
2015-01-12,TOR,Los Angeles Kings,L,0,2,TOR,Detroit Pistons,L,111,114
2015-01-14,TOR,Anaheim Ducks,L,0,4,TOR,Philadelphia 76ers,W,100,84
2015-01-19,TOR,Carolina Hurricanes,L,1,4,TOR,Milwaukee Bucks,W,92,89
2015-01-21,TOR,Ottawa Senators,L,3,4,TOR,Memphis Grizzlies,L,86,92
2015-01-28,TOR,New Jersey Devils,L,1,2,TOR,Sacramento Kings,W,119,102
2015-01-31,TOR,Philadelphia Flyers,L,0,1,TOR,Washington Wizards,W,120,116
2015-02-06,TOR,New Jersey Devils,L,1,4,TOR,Los Angeles Clippers,W,123,107
2015-02-20,TOR,Carolina Hurricanes,L,1,2,TOR,Atlanta Hawks,W,105,80
2015-02-21,TOR,Winnipeg Jets,W,4,3,TOR,Houston Rockets,L,76,98
2015-02-28,TOR,Montreal Canadiens,L,0,4,TOR,New York Knicks,L,98,103
2015-03-13,TOR,Calgary Flames,L,3,6,TOR,Miami Heat,W,102,92
2015-03-16,TOR,Edmonton Oilers,L,1,4,TOR,Indiana Pacers,W,117,98
2015-04-01,TOR,Buffalo Sabres,L,3,4,TOR,Minnesota Timberwolves,W,113,99
2015-04-04,TOR,Boston Bruins,L,1,2,TOR,Boston Celtics,L,116,117
2015-04-08,TOR,Columbus Blue Jackets,L,0,5,TOR,Charlotte Hornets,W,92,74
2015-04-11,TOR,Montreal Canadiens,L,3,4,TOR,Miami Heat,W,107,104
2015-10-30,TOR,New York Rangers,L,1,3,TOR,Boston Celtics,W,113,103
2015-11-04,TOR,Winnipeg Jets,L,2,4,TOR,Oklahoma City Thunder,W,103,98
2015-11-06,TOR,Detroit Red Wings,L,1,2,TOR,Orlando Magic,L,87,92
2015-11-10,TOR,Dallas Stars,W,3,2,TOR,New York Knicks,L,109,111
2015-11-15,TOR,New York Rangers,L,3,4,TOR,Sacramento Kings,L,101,107
2015-11-17,TOR,Colorado Avalanche,W,5,1,TOR,Golden State Warriors,L,110,115
2015-11-20,TOR,Carolina Hurricanes,W,2,1,TOR,Los Angeles Lakers,W,102,91
2015-11-28,TOR,Washington Capitals,L,2,4,TOR,Washington Wizards,W,84,82
2015-12-02,TOR,Winnipeg Jets,L,1,6,TOR,Atlanta Hawks,W,96,86
2015-12-03,TOR,Minnesota Wild,L,0,1,TOR,Denver Nuggets,L,105,106
2015-12-05,TOR,St. Louis Blues,W,4,1,TOR,Golden State Warriors,L,109,112
2015-12-17,TOR,San Jose Sharks,L,4,5,TOR,Charlotte Hornets,L,99,109
