Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-11-29,DAL,Colorado Avalanche,L,2,5,DAL,Philadelphia 76ers,W,110,103
2014-12-02,DAL,Toronto Maple Leafs,L,3,5,DAL,Chicago Bulls,W,132,129
2014-12-09,DAL,Winnipeg Jets,L,2,5,DAL,Memphis Grizzlies,L,105,114
2014-12-13,DAL,New Jersey Devils,W,4,3,DAL,Golden State Warriors,L,98,105
2014-12-17,DAL,Vancouver Canucks,W,2,0,DAL,Detroit Pistons,W,117,106
2014-12-23,DAL,Toronto Maple Leafs,L,0,4,DAL,Phoenix Suns,L,115,124
2015-01-04,DAL,Chicago Blackhawks,L,4,5,DAL,Cleveland Cavaliers,W,109,90
2015-01-10,DAL,Colorado Avalanche,L,3,4,DAL,Los Angeles Clippers,L,100,120
2015-01-13,DAL,Ottawa Senators,W,5,4,DAL,Sacramento Kings,W,108,104
2015-01-27,DAL,Montreal Canadiens,L,2,3,DAL,Memphis Grizzlies,L,90,109
2015-01-31,DAL,Winnipeg Jets,W,5,2,DAL,Orlando Magic,W,108,93
2015-02-05,DAL,Tampa Bay Lightning,L,3,5,DAL,Sacramento Kings,W,101,78
2015-02-07,DAL,Buffalo Sabres,L,2,3,DAL,Portland Trail Blazers,W,111,101
2015-02-19,DAL,San Jose Sharks,L,2,5,DAL,Oklahoma City Thunder,L,89,104
2015-02-22,DAL,Minnesota Wild,L,2,6,DAL,Charlotte Hornets,W,92,81
2015-02-24,DAL,Winnipeg Jets,L,2,4,DAL,Toronto Raptors,W,99,92
2015-03-05,DAL,Florida Panthers,W,4,3,DAL,Portland Trail Blazers,L,75,94
2015-03-10,DAL,Philadelphia Flyers,W,2,1,DAL,Cleveland Cavaliers,L,94,127
2015-03-13,DAL,Washington Capitals,W,4,2,DAL,Los Angeles Clippers,W,129,99
2015-03-27,DAL,Edmonton Oilers,L,0,4,DAL,San Antonio Spurs,L,76,94
2015-04-04,DAL,Nashville Predators,W,4,3,DAL,Golden State Warriors,L,110,123
2015-04-08,DAL,Anaheim Ducks,W,4,0,DAL,Phoenix Suns,W,107,104
2015-10-29,DAL,Vancouver Canucks,W,4,3,DAL,Los Angeles Clippers,L,88,104
2015-11-03,DAL,Boston Bruins,W,5,3,DAL,Toronto Raptors,L,91,102
2015-11-10,DAL,Toronto Maple Leafs,L,2,3,DAL,New Orleans Pelicans,L,105,120
2015-11-14,DAL,Minnesota Wild,W,3,2,DAL,Houston Rockets,W,110,98
