Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2014-03-18,FLA,San Jose Sharks,W,3,2,MIA,Cleveland Cavaliers,W,100,96
2014-03-22,FLA,Los Angeles Kings,L,0,4,MIA,New Orleans Pelicans,L,95,105
2014-03-29,FLA,Montreal Canadiens,L,1,4,MIA,Milwaukee Bucks,W,88,67
2014-03-31,FLA,New Jersey Devils,L,3,6,MIA,Toronto Raptors,W,93,83
2014-04-04,FLA,Calgary Flames,L,1,2,MIA,Minnesota Timberwolves,L,121,122
2014-04-06,FLA,Dallas Stars,W,3,2,MIA,New York Knicks,W,102,91
2014-04-08,FLA,Philadelphia Flyers,L,2,5,MIA,Brooklyn Nets,L,87,88
2014-04-12,FLA,Columbus Blue Jackets,L,2,3,MIA,Atlanta Hawks,L,85,98
2014-11-01,FLA,Philadelphia Flyers,W,2,1,MIA,Philadelphia 76ers,W,114,96
2014-11-04,FLA,Boston Bruins,L,1,2,MIA,Houston Rockets,L,91,108
2014-11-08,FLA,Calgary Flames,L,4,6,MIA,Minnesota Timberwolves,W,102,92
2014-11-14,FLA,New York Islanders,L,3,4,MIA,Atlanta Hawks,L,103,114
2014-11-16,FLA,Anaheim Ducks,W,6,2,MIA,Milwaukee Bucks,L,84,91
2014-11-20,FLA,San Jose Sharks,W,3,2,MIA,Los Angeles Clippers,L,93,110
2014-11-22,FLA,Nashville Predators,L,2,3,MIA,Orlando Magic,W,99,92
2014-12-01,FLA,Columbus Blue Jackets,L,1,2,MIA,Washington Wizards,L,86,107
2014-12-12,FLA,Detroit Red Wings,W,3,2,MIA,Utah Jazz,W,100,95
2014-12-16,FLA,Washington Capitals,W,2,1,MIA,Brooklyn Nets,W,95,91
2014-12-31,FLA,New York Rangers,L,2,5,MIA,Indiana Pacers,L,95,106
2015-01-04,FLA,Washington Capitals,L,3,4,MIA,Brooklyn Nets,W,88,84
2015-01-08,FLA,Vancouver Canucks,W,3,1,MIA,Portland Trail Blazers,L,83,99
2015-01-11,FLA,Edmonton Oilers,W,4,2,MIA,Los Angeles Clippers,W,104,90
2015-01-13,FLA,Winnipeg Jets,L,2,8,MIA,Los Angeles Lakers,W,78,75
2015-01-27,FLA,Detroit Red Wings,L,4,5,MIA,Milwaukee Bucks,L,102,109
2015-02-03,FLA,New York Islanders,W,4,2,MIA,Detroit Pistons,L,91,108
2015-02-21,FLA,Ottawa Senators,L,1,4,MIA,New Orleans Pelicans,L,91,105
2015-02-28,FLA,Buffalo Sabres,W,5,3,MIA,Atlanta Hawks,L,91,93
2015-03-07,FLA,New York Islanders,W,4,3,MIA,Sacramento Kings,W,114,109
2015-03-24,FLA,Tampa Bay Lightning,L,3,4,MIA,Milwaukee Bucks,L,88,89
2015-03-29,FLA,Ottawa Senators,W,4,2,MIA,Detroit Pistons,W,109,102
2015-03-31,FLA,Boston Bruins,L,2,3,MIA,San Antonio Spurs,L,81,95
2015-04-02,FLA,Carolina Hurricanes,W,6,1,MIA,Cleveland Cavaliers,L,88,114
2015-04-04,FLA,Tampa Bay Lightning,L,0,4,MIA,Detroit Pistons,L,98,99
2015-04-05,FLA,Montreal Canadiens,L,1,4,MIA,Indiana Pacers,L,89,112
2015-04-09,FLA,Boston Bruins,W,4,2,MIA,Chicago Bulls,L,78,89
2015-04-11,FLA,New Jersey Devils,W,3,2,MIA,Toronto Raptors,L,104,107
2015-10-30,FLA,Boston Bruins,L,1,3,MIA,Cleveland Cavaliers,L,92,102
2015-11-05,FLA,San Jose Sharks,L,2,5,MIA,Minnesota Timberwolves,W,96,84
2015-11-10,FLA,Calgary Flames,W,4,3,MIA,Los Angeles Lakers,W,101,88
2015-11-12,FLA,Buffalo Sabres,L,2,3,MIA,Utah Jazz,W,92,91
2015-11-19,FLA,Anaheim Ducks,L,1,3,MIA,Sacramento Kings,W,116,109
2015-11-21,FLA,New York Rangers,L,4,5,MIA,Philadelphia 76ers,W,96,91
2015-11-23,FLA,Los Angeles Kings,L,1,3,MIA,New York Knicks,W,95,78
2015-11-27,FLA,New York Islanders,W,3,2,MIA,New York Knicks,W,97,78
2015-12-03,FLA,Nashville Predators,W,2,1,MIA,Oklahoma City Thunder,W,97,95
2015-12-18,FLA,Carolina Hurricanes,W,2,0,MIA,Toronto Raptors,L,94,108
2015-12-20,FLA,Vancouver Canucks,W,5,4,MIA,Portland Trail Blazers,W,116,109
2015-12-22,FLA,Ottawa Senators,W,2,1,MIA,Detroit Pistons,L,92,93
2015-12-29,FLA,Montreal Canadiens,W,3,1,MIA,Memphis Grizzlies,L,90,99
2016-01-03,FLA,Minnesota Wild,W,2,1,MIA,Washington Wizards,W,97,75
2016-01-11,FLA,Vancouver Canucks,L,2,3,MIA,Golden State Warriors,L,103,111
2016-01-13,FLA,Calgary Flames,L,0,6,MIA,Los Angeles Clippers,L,90,104
2016-01-17,FLA,Tampa Bay Lightning,L,1,3,MIA,Oklahoma City Thunder,L,74,99
2016-01-22,FLA,Chicago Blackhawks,W,4,0,MIA,Toronto Raptors,L,81,101
2016-01-26,FLA,Toronto Maple Leafs,W,5,1,MIA,Brooklyn Nets,W,102,98
2016-02-02,FLA,Washington Capitals,W,5,2,MIA,Houston Rockets,L,102,115
2016-02-09,FLA,Buffalo Sabres,W,7,4,MIA,San Antonio Spurs,L,101,119
2016-02-20,FLA,Winnipeg Jets,W,3,1,MIA,Washington Wizards,W,114,94
2016-02-27,FLA,Columbus Blue Jackets,L,3,4,MIA,Boston Celtics,L,89,101
2016-02-28,FLA,Minnesota Wild,L,1,3,MIA,New York Knicks,W,98,81
2016-03-01,FLA,Winnipeg Jets,W,3,2,MIA,Chicago Bulls,W,129,111
2016-03-03,FLA,Colorado Avalanche,L,2,3,MIA,Phoenix Suns,W,108,92
2016-03-12,FLA,Philadelphia Flyers,W,5,4,MIA,Toronto Raptors,L,104,112
2016-03-14,FLA,New York Islanders,L,2,3,MIA,Denver Nuggets,W,124,119
2016-03-17,FLA,Toronto Maple Leafs,W,4,1,MIA,Charlotte Hornets,L,106,109
2016-03-19,FLA,Detroit Red Wings,L,3,5,MIA,Cleveland Cavaliers,W,122,101
2016-04-02,FLA,Montreal Canadiens,W,4,3,MIA,Portland Trail Blazers,L,93,110
2016-04-05,FLA,Montreal Canadiens,W,4,1,MIA,Detroit Pistons,W,107,89
2016-04-07,FLA,Ottawa Senators,L,1,3,MIA,Chicago Bulls,W,106,98
2016-10-30,FLA,Detroit Red Wings,W,5,2,MIA,San Antonio Spurs,L,99,106
2016-11-01,FLA,Boston Bruins,L,1,2,MIA,Sacramento Kings,W,108,96
2016-11-07,FLA,Tampa Bay Lightning,W,3,1,MIA,Oklahoma City Thunder,L,85,97
2016-11-10,FLA,San Jose Sharks,L,2,4,MIA,Chicago Bulls,L,95,98
2016-11-12,FLA,New York Islanders,W,3,2,MIA,Utah Jazz,L,91,102
2016-11-15,FLA,Montreal Canadiens,W,4,3,MIA,Atlanta Hawks,L,90,93
2016-11-17,FLA,Toronto Maple Leafs,L,1,6,MIA,Milwaukee Bucks,W,96,73
2016-11-19,FLA,Ottawa Senators,W,4,1,MIA,Washington Wizards,W,114,111
2016-11-26,FLA,Columbus Blue Jackets,W,2,1,MIA,Memphis Grizzlies,L,107,110
2016-12-01,FLA,Detroit Red Wings,W,2,1,MIA,Utah Jazz,W,111,110
2016-12-03,FLA,Ottawa Senators,L,0,2,MIA,Portland Trail Blazers,L,92,99
2016-12-06,FLA,Philadelphia Flyers,L,2,3,MIA,New York Knicks,L,103,114
2016-12-10,FLA,Vancouver Canucks,W,4,2,MIA,Chicago Bulls,L,100,105
2016-12-16,FLA,Colorado Avalanche,W,3,1,MIA,Los Angeles Clippers,L,98,102
2016-12-20,FLA,Buffalo Sabres,W,4,3,MIA,Orlando Magic,L,130,136
2016-12-22,FLA,Boston Bruins,L,1,3,MIA,Los Angeles Lakers,W,115,107
2016-12-23,FLA,Detroit Red Wings,L,3,4,MIA,New Orleans Pelicans,L,87,91
2016-12-29,FLA,Montreal Canadiens,L,2,3,MIA,Charlotte Hornets,L,82,91
2017-01-04,FLA,Winnipeg Jets,L,1,4,MIA,Sacramento Kings,W,107,102
2017-01-06,FLA,Nashville Predators,W,2,1,MIA,Los Angeles Lakers,L,100,127
2017-01-13,FLA,New York Islanders,L,2,5,MIA,Milwaukee Bucks,L,108,116
2017-01-17,FLA,Calgary Flames,L,2,5,MIA,Houston Rockets,W,109,103
2017-01-23,FLA,Arizona Coyotes,L,2,3,MIA,Golden State Warriors,W,105,102
2017-02-11,FLA,Nashville Predators,W,7,4,MIA,Philadelphia 76ers,L,109,117
2017-02-15,FLA,San Jose Sharks,W,6,5,MIA,Houston Rockets,W,117,109
2017-02-24,FLA,Calgary Flames,L,2,4,MIA,Atlanta Hawks,W,108,90
