NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
BRK,2013-12-05,7:00p,New York Knicks,L,83,113
BRK,2013-12-07,8:30p,Milwaukee Bucks,W,90,82
BRK,2013-12-10,7:30p,Boston Celtics,W,104,96
BRK,2013-12-12,8:00p,Los Angeles Clippers,W,102,93
BRK,2013-12-13,7:30p,Detroit Pistons,L,99,103
BRK,2013-12-16,7:30p,Philadelphia 76ers,W,130,94
BRK,2013-12-18,7:30p,Washington Wizards,L,107,113
BRK,2013-12-20,7:00p,Philadelphia 76ers,L,120,121
BRK,2013-12-23,7:30p,Indiana Pacers,L,86,103
BRK,2013-12-25,12:00p,Chicago Bulls,L,78,95
BRK,2013-12-27,7:30p,Milwaukee Bucks,W,104,93
BRK,2013-12-28,7:00p,Indiana Pacers,L,91,105
BRK,2013-12-31,7:00p,San Antonio Spurs,L,92,113
BRK,2014-01-02,8:00p,Oklahoma City Thunder,W,95,93
BRK,2014-01-04,7:30p,Cleveland Cavaliers,W,89,82
BRK,2014-01-06,7:30p,Atlanta Hawks,W,91,86
BRK,2014-01-08,7:30p,Golden State Warriors,W,102,98
BRK,2014-01-10,8:00p,Miami Heat,W,104,95
BRK,2014-01-11,7:00p,Toronto Raptors,L,80,96
BRK,2014-01-16,3:00p,Atlanta Hawks,W,127,110
BRK,2014-01-20,2:30p,New York Knicks,W,103,80
BRK,2014-01-21,7:30p,Orlando Magic,W,101,90
BRK,2014-01-24,7:30p,Dallas Mavericks,W,107,106
BRK,2014-01-26,6:30p,Boston Celtics,W,85,79
BRK,2014-01-27,7:30p,Toronto Raptors,L,103,104
BRK,2014-01-31,8:00p,Oklahoma City Thunder,L,95,120
BRK,2014-02-01,7:00p,Indiana Pacers,L,96,97
BRK,2014-02-03,7:30p,Philadelphia 76ers,W,108,102
BRK,2014-02-06,8:00p,San Antonio Spurs,W,103,89
BRK,2014-02-07,7:30p,Detroit Pistons,L,95,111
BRK,2014-02-09,6:00p,New Orleans Pelicans,W,93,81
BRK,2014-02-12,7:30p,Charlotte Bobcats,W,105,89
BRK,2014-02-13,8:00p,Chicago Bulls,L,76,92
BRK,2014-02-19,9:00p,Utah Jazz,W,105,99
BRK,2014-02-22,10:30p,Golden State Warriors,L,86,93
BRK,2014-02-23,9:00p,Los Angeles Lakers,W,108,102
BRK,2014-02-26,10:00p,Portland Trail Blazers,L,80,124
BRK,2014-02-27,10:30p,Denver Nuggets,W,112,89
BRK,2014-03-01,8:30p,Milwaukee Bucks,W,107,98
BRK,2014-03-03,7:30p,Chicago Bulls,W,96,80
BRK,2014-03-05,7:30p,Memphis Grizzlies,W,103,94
BRK,2014-03-07,7:30p,Boston Celtics,L,84,91
BRK,2014-03-09,6:00p,Sacramento Kings,W,104,89
BRK,2014-03-10,7:30p,Toronto Raptors,W,101,97
BRK,2014-03-12,7:00p,Miami Heat,W,96,95
BRK,2014-03-15,7:00p,Washington Wizards,L,94,101
BRK,2014-03-17,7:30p,Phoenix Suns,W,108,95
BRK,2014-03-19,7:30p,Charlotte Bobcats,W,104,99
BRK,2014-03-21,7:30p,Boston Celtics,W,114,98
BRK,2014-03-23,7:30p,Dallas Mavericks,W,107,104
BRK,2014-03-24,8:00p,New Orleans Pelicans,L,104,109
BRK,2014-03-26,7:00p,Charlotte Bobcats,L,111,116
BRK,2014-03-28,7:30p,Cleveland Cavaliers,W,108,97
BRK,2014-03-30,6:00p,Minnesota Timberwolves,W,114,99
BRK,2014-04-01,8:00p,Houston Rockets,W,105,96
BRK,2014-04-02,7:00p,New York Knicks,L,81,110
