NHL Team,Date,Opponent,Result,Team Score,Opponent Score
TOR,2013-04-06,New Jersey Devils,W,2,1
TOR,2013-04-08,New York Rangers,W,4,3
TOR,2013-04-10,New York Rangers,L,2,3
TOR,2013-04-13,Montreal Canadiens,W,5,1
TOR,2013-04-15,New Jersey Devils,W,2,0
TOR,2013-04-16,Washington Capitals,L,1,5
TOR,2013-04-18,New York Islanders,L,3,5
TOR,2013-04-20,Ottawa Senators,W,4,1
TOR,2013-04-24,Tampa Bay Lightning,L,2,5
TOR,2013-04-25,Florida Panthers,W,4,0
TOR,2013-04-27,Montreal Canadiens,L,1,4
TOR,2013-10-01,Montreal Canadiens,W,4,3
TOR,2013-10-02,Philadelphia Flyers,W,3,1
TOR,2013-10-05,Ottawa Senators,W,5,4
TOR,2013-10-08,Colorado Avalanche,L,1,2
TOR,2013-10-10,Nashville Predators,W,4,0
TOR,2013-10-12,Edmonton Oilers,W,6,5
TOR,2013-10-15,Minnesota Wild,W,4,1
TOR,2013-10-17,Carolina Hurricanes,L,2,3
TOR,2013-10-19,Chicago Blackhawks,L,1,3
TOR,2013-10-22,Anaheim Ducks,W,4,2
TOR,2013-10-25,Columbus Blue Jackets,L,2,5
TOR,2013-10-26,Pittsburgh Penguins,W,4,1
TOR,2013-10-29,Edmonton Oilers,W,4,0
TOR,2013-10-30,Calgary Flames,W,4,2
TOR,2013-11-02,Vancouver Canucks,L,0,4
TOR,2013-11-08,New Jersey Devils,W,2,1
TOR,2013-11-09,Boston Bruins,L,1,3
TOR,2013-11-13,Minnesota Wild,L,1,2
TOR,2013-11-15,Buffalo Sabres,L,1,3
TOR,2013-11-16,Buffalo Sabres,W,4,2
TOR,2013-11-19,New York Islanders,W,5,2
TOR,2013-11-21,Nashville Predators,L,2,4
TOR,2013-11-23,Washington Capitals,W,2,1
TOR,2013-11-25,Columbus Blue Jackets,L,0,6
TOR,2013-11-27,Pittsburgh Penguins,L,5,6
TOR,2013-11-29,Buffalo Sabres,L,2,3
TOR,2013-11-30,Montreal Canadiens,L,2,4
TOR,2013-12-03,San Jose Sharks,L,2,4
TOR,2013-12-05,Dallas Stars,W,3,2
TOR,2013-12-07,Ottawa Senators,W,4,3
TOR,2013-12-08,Boston Bruins,L,2,5
TOR,2013-12-11,Los Angeles Kings,L,1,3
TOR,2013-12-12,St. Louis Blues,L,3,6
TOR,2013-12-14,Chicago Blackhawks,W,7,3
TOR,2013-12-16,Pittsburgh Penguins,L,1,3
TOR,2013-12-17,Florida Panthers,L,1,3
TOR,2013-12-19,Phoenix Coyotes,W,2,1
TOR,2013-12-21,Detroit Red Wings,L,4,5
TOR,2013-12-23,New York Rangers,L,1,2
TOR,2013-12-27,Buffalo Sabres,W,4,3
TOR,2013-12-29,Carolina Hurricanes,W,5,2
TOR,2014-01-01,Detroit Red Wings,W,3,2
TOR,2014-01-04,New York Rangers,L,1,7
TOR,2014-01-07,New York Islanders,L,3,5
TOR,2014-01-09,Carolina Hurricanes,L,1,6
TOR,2014-01-10,Washington Capitals,L,2,3
TOR,2014-01-12,New Jersey Devils,W,3,2
TOR,2014-01-14,Boston Bruins,W,4,3
TOR,2014-01-15,Buffalo Sabres,W,4,3
TOR,2014-01-18,Montreal Canadiens,W,5,3
TOR,2014-01-20,Phoenix Coyotes,W,4,2
