NHL Team,Date,Opponent,Result,Team Score,Opponent Score
ANA,2013-04-05,Dallas Stars,L,1,3
ANA,2013-04-07,Los Angeles Kings,W,4,3
ANA,2013-04-08,Edmonton Oilers,W,2,1
ANA,2013-04-10,Colorado Avalanche,L,1,4
ANA,2013-04-13,Los Angeles Kings,L,1,2
ANA,2013-04-17,Columbus Blue Jackets,L,2,3
ANA,2013-04-19,Calgary Flames,L,1,3
ANA,2013-04-21,Edmonton Oilers,W,3,1
ANA,2013-04-22,Edmonton Oilers,W,3,0
ANA,2013-04-25,Vancouver Canucks,W,3,1
ANA,2013-04-27,Phoenix Coyotes,L,3,5
ANA,2013-10-02,Colorado Avalanche,L,1,6
ANA,2013-10-05,Minnesota Wild,W,4,3
ANA,2013-10-06,Winnipeg Jets,W,3,2
ANA,2013-10-10,New York Rangers,W,6,0
ANA,2013-10-13,Ottawa Senators,W,4,1
ANA,2013-10-16,Calgary Flames,W,3,2
ANA,2013-10-18,Phoenix Coyotes,W,3,2
ANA,2013-10-20,Dallas Stars,W,6,3
ANA,2013-10-22,Toronto Maple Leafs,L,2,4
ANA,2013-10-24,Montreal Canadiens,L,1,4
ANA,2013-10-25,Ottawa Senators,W,2,1
ANA,2013-10-27,Columbus Blue Jackets,W,4,3
ANA,2013-10-29,Philadelphia Flyers,W,3,2
ANA,2013-10-31,Boston Bruins,L,2,3
ANA,2013-11-02,Buffalo Sabres,W,6,3
ANA,2013-11-04,New York Rangers,W,2,1
ANA,2013-11-06,Phoenix Coyotes,W,5,2
ANA,2013-11-08,Buffalo Sabres,W,6,2
ANA,2013-11-10,Vancouver Canucks,W,3,1
ANA,2013-11-12,Florida Panthers,L,2,3
ANA,2013-11-14,Tampa Bay Lightning,L,1,5
ANA,2013-11-15,Carolina Hurricanes,L,2,3
ANA,2013-11-18,Pittsburgh Penguins,L,1,3
ANA,2013-11-20,New Jersey Devils,L,3,4
ANA,2013-11-22,Tampa Bay Lightning,W,1,0
ANA,2013-11-23,Phoenix Coyotes,W,4,2
ANA,2013-11-26,Dallas Stars,L,3,6
ANA,2013-11-29,Calgary Flames,W,5,2
ANA,2013-11-30,San Jose Sharks,L,3,4
ANA,2013-12-03,Los Angeles Kings,L,2,3
ANA,2013-12-06,Chicago Blackhawks,W,3,2
ANA,2013-12-07,St. Louis Blues,W,5,2
ANA,2013-12-09,New York Islanders,W,5,2
ANA,2013-12-11,Minnesota Wild,W,2,1
ANA,2013-12-15,Edmonton Oilers,W,3,2
ANA,2013-12-17,Detroit Red Wings,W,5,2
ANA,2013-12-20,New Jersey Devils,W,3,2
ANA,2013-12-21,New York Islanders,W,5,3
ANA,2013-12-23,Washington Capitals,W,3,2
ANA,2013-12-28,Phoenix Coyotes,W,3,2
ANA,2013-12-29,San Jose Sharks,L,1,3
ANA,2013-12-31,San Jose Sharks,W,6,3
ANA,2014-01-03,Edmonton Oilers,W,5,2
ANA,2014-01-05,Vancouver Canucks,W,4,3
ANA,2014-01-07,Boston Bruins,W,5,2
ANA,2014-01-09,Nashville Predators,W,4,3
ANA,2014-01-11,Phoenix Coyotes,W,5,3
ANA,2014-01-12,Detroit Red Wings,W,1,0
ANA,2014-01-15,Vancouver Canucks,W,9,1
ANA,2014-01-17,Chicago Blackhawks,L,2,4
ANA,2014-01-18,St. Louis Blues,W,3,2
ANA,2014-01-21,Winnipeg Jets,L,2,3
ANA,2014-01-23,Los Angeles Kings,W,2,1
ANA,2014-01-25,Los Angeles Kings,W,3,0
ANA,2014-01-28,Minnesota Wild,L,2,4
ANA,2014-01-30,Philadelphia Flyers,W,5,3
ANA,2014-02-01,Dallas Stars,L,0,2
ANA,2014-02-03,Columbus Blue Jackets,L,2,4
ANA,2014-02-05,Chicago Blackhawks,L,0,2
ANA,2014-02-08,Nashville Predators,W,5,2
ANA,2014-02-28,St. Louis Blues,W,1,0
ANA,2014-03-02,Carolina Hurricanes,W,5,3
ANA,2014-03-05,Montreal Canadiens,L,3,4
ANA,2014-03-07,Pittsburgh Penguins,L,2,3
ANA,2014-03-10,Toronto Maple Leafs,L,1,3
ANA,2014-03-12,Calgary Flames,L,2,7
ANA,2014-03-14,Colorado Avalanche,W,6,4
ANA,2014-03-15,Los Angeles Kings,W,2,1
ANA,2014-03-18,Washington Capitals,L,2,3
ANA,2014-03-20,San Jose Sharks,L,2,3
ANA,2014-03-23,Florida Panthers,W,6,2
ANA,2014-03-26,Calgary Flames,W,3,2
ANA,2014-03-28,Edmonton Oilers,L,3,4
ANA,2014-03-29,Vancouver Canucks,W,5,1
ANA,2014-03-31,Winnipeg Jets,W,5,4
ANA,2014-04-02,Edmonton Oilers,W,3,2
ANA,2014-04-04,Nashville Predators,L,2,5
ANA,2014-04-06,Edmonton Oilers,L,2,4
ANA,2014-04-07,Vancouver Canucks,W,3,0
ANA,2014-04-09,San Jose Sharks,W,5,2
ANA,2014-04-12,Los Angeles Kings,W,4,3
ANA,2014-04-13,Colorado Avalanche,W,3,2
ANA,2014-10-09,Pittsburgh Penguins,L,4,6
ANA,2014-10-11,Detroit Red Wings,W,3,2
ANA,2014-10-13,Buffalo Sabres,W,5,1
ANA,2014-10-14,Philadelphia Flyers,W,4,3
ANA,2014-10-17,Minnesota Wild,W,2,1
ANA,2014-10-19,St. Louis Blues,W,3,0
ANA,2014-10-22,Buffalo Sabres,W,4,1
ANA,2014-10-24,Columbus Blue Jackets,W,4,1
ANA,2014-10-26,San Jose Sharks,L,1,4
ANA,2014-10-28,Chicago Blackhawks,W,1,0
ANA,2014-10-30,St. Louis Blues,L,0,2
ANA,2014-10-31,Dallas Stars,W,2,1
ANA,2014-11-02,Colorado Avalanche,W,3,2
ANA,2014-11-05,New York Islanders,L,2,3
ANA,2014-11-07,Arizona Coyotes,L,2,3
ANA,2014-11-09,Vancouver Canucks,L,1,2
ANA,2014-11-12,Los Angeles Kings,W,6,5
ANA,2014-11-15,Los Angeles Kings,L,2,3
ANA,2014-11-16,Florida Panthers,L,2,6
ANA,2014-11-18,Calgary Flames,L,3,4
ANA,2014-11-20,Vancouver Canucks,W,4,3
ANA,2014-11-23,Arizona Coyotes,W,2,1
ANA,2014-11-25,Calgary Flames,W,3,2
ANA,2014-11-28,Chicago Blackhawks,L,1,4
ANA,2014-11-29,San Jose Sharks,L,4,6
ANA,2014-12-01,Boston Bruins,W,3,2
ANA,2014-12-03,Philadelphia Flyers,W,5,4
ANA,2014-12-05,Minnesota Wild,W,5,4
ANA,2014-12-07,Winnipeg Jets,W,4,3
ANA,2014-12-10,Edmonton Oilers,W,2,1
ANA,2014-12-12,Edmonton Oilers,W,4,2
ANA,2014-12-13,Winnipeg Jets,W,4,1
ANA,2014-12-16,Toronto Maple Leafs,L,2,6
ANA,2014-12-18,Montreal Canadiens,W,2,1
ANA,2014-12-19,Ottawa Senators,L,2,6
ANA,2014-12-22,San Jose Sharks,W,3,2
ANA,2014-12-27,Arizona Coyotes,L,1,2
ANA,2014-12-28,Vancouver Canucks,W,2,1
ANA,2014-12-31,San Jose Sharks,L,0,3
ANA,2015-01-02,St. Louis Blues,W,4,3
ANA,2015-01-04,Nashville Predators,W,4,3
ANA,2015-01-07,New York Rangers,L,1,4
ANA,2015-01-11,Winnipeg Jets,W,5,4
ANA,2015-01-14,Toronto Maple Leafs,W,4,0
ANA,2015-01-16,New Jersey Devils,W,5,1
ANA,2015-01-17,Los Angeles Kings,W,3,2
ANA,2015-01-21,Calgary Flames,W,6,3
ANA,2015-01-27,Vancouver Canucks,W,4,0
ANA,2015-01-29,San Jose Sharks,L,3,6
ANA,2015-01-30,Chicago Blackhawks,L,1,4
ANA,2015-02-03,Carolina Hurricanes,W,5,4
ANA,2015-02-05,Nashville Predators,W,5,2
ANA,2015-02-06,Washington Capitals,L,2,3
ANA,2015-02-08,Tampa Bay Lightning,L,3,5
ANA,2015-02-10,Florida Panthers,L,2,6
ANA,2015-02-12,Carolina Hurricanes,W,2,1
ANA,2015-02-15,Washington Capitals,L,3,5
ANA,2015-02-18,Tampa Bay Lightning,L,1,4
ANA,2015-02-20,Calgary Flames,W,6,3
ANA,2015-02-21,Edmonton Oilers,W,2,1
ANA,2015-02-23,Detroit Red Wings,W,4,3
ANA,2015-02-25,Ottawa Senators,L,0,3
ANA,2015-02-27,Los Angeles Kings,W,4,2
ANA,2015-03-01,Dallas Stars,W,3,1
ANA,2015-03-03,Arizona Coyotes,W,4,1
ANA,2015-03-04,Montreal Canadiens,W,3,1
ANA,2015-03-06,Pittsburgh Penguins,L,2,5
ANA,2015-03-09,Vancouver Canucks,L,1,2
ANA,2015-03-11,Calgary Flames,L,3,6
