NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
MIA,2013-01-12,10:00p,Sacramento Kings,W,128,99
MIA,2013-01-14,9:00p,Utah Jazz,L,97,104
MIA,2013-01-16,10:30p,Golden State Warriors,W,92,75
MIA,2013-01-17,10:30p,Los Angeles Lakers,W,99,90
MIA,2013-01-23,7:30p,Toronto Raptors,W,123,116
MIA,2013-01-25,7:30p,Detroit Pistons,W,110,88
MIA,2013-01-27,1:00p,Boston Celtics,L,98,100
MIA,2013-01-30,8:00p,Brooklyn Nets,W,105,85
MIA,2013-02-01,7:00p,Indiana Pacers,L,89,102
MIA,2013-02-03,2:00p,Toronto Raptors,W,100,85
MIA,2013-02-04,7:30p,Charlotte Bobcats,W,99,94
MIA,2013-02-06,7:30p,Houston Rockets,W,114,108
MIA,2013-02-08,8:00p,Los Angeles Clippers,W,111,89
MIA,2013-02-10,3:30p,Los Angeles Lakers,W,107,97
MIA,2013-02-12,7:30p,Portland Trail Blazers,W,117,104
MIA,2013-02-14,8:00p,Oklahoma City Thunder,W,110,100
MIA,2013-02-20,8:00p,Atlanta Hawks,W,103,90
MIA,2013-02-21,8:00p,Chicago Bulls,W,86,67
MIA,2013-02-23,7:30p,Philadelphia 76ers,W,114,90
MIA,2013-02-24,6:00p,Cleveland Cavaliers,W,109,105
MIA,2013-02-26,7:30p,Sacramento Kings,W,141,129
MIA,2013-03-01,8:00p,Memphis Grizzlies,W,98,91
MIA,2013-03-03,1:00p,New York Knicks,W,99,93
MIA,2013-03-04,8:00p,Minnesota Timberwolves,W,97,81
MIA,2013-03-06,7:30p,Orlando Magic,W,97,96
MIA,2013-03-08,8:00p,Philadelphia 76ers,W,102,93
MIA,2013-03-10,6:00p,Indiana Pacers,W,105,91
MIA,2013-03-12,7:30p,Atlanta Hawks,W,98,81
MIA,2013-03-13,7:00p,Philadelphia 76ers,W,98,94
MIA,2013-03-15,8:30p,Milwaukee Bucks,W,107,94
MIA,2013-03-17,1:00p,Toronto Raptors,W,108,91
MIA,2013-03-18,8:00p,Boston Celtics,W,105,103
MIA,2013-03-20,7:00p,Cleveland Cavaliers,W,98,95
MIA,2013-03-22,7:30p,Detroit Pistons,W,103,89
MIA,2013-03-24,6:00p,Charlotte Bobcats,W,109,77
MIA,2013-03-25,7:00p,Orlando Magic,W,108,94
MIA,2013-03-27,8:00p,Chicago Bulls,L,97,101
MIA,2013-03-29,8:00p,New Orleans Hornets,W,108,89
MIA,2013-03-31,7:00p,San Antonio Spurs,W,88,86
MIA,2013-04-02,8:00p,New York Knicks,L,90,102
MIA,2013-04-05,8:00p,Charlotte Bobcats,W,89,79
MIA,2013-04-06,7:30p,Philadelphia 76ers,W,106,87
MIA,2013-04-09,7:30p,Milwaukee Bucks,W,94,83
MIA,2013-04-10,7:00p,Washington Wizards,W,103,98
MIA,2013-04-12,7:30p,Boston Celtics,W,109,101
MIA,2013-04-14,1:00p,Chicago Bulls,W,105,93
MIA,2013-04-15,7:00p,Cleveland Cavaliers,W,96,95
MIA,2013-04-17,8:00p,Orlando Magic,W,105,93
MIA,2013-10-29,8:00p,Chicago Bulls,W,107,95
MIA,2013-10-30,7:00p,Philadelphia 76ers,L,110,114
MIA,2013-11-01,8:00p,Brooklyn Nets,L,100,101
MIA,2013-11-03,6:00p,Washington Wizards,W,103,93
MIA,2013-11-05,7:00p,Toronto Raptors,W,104,95
MIA,2013-11-07,7:00p,Los Angeles Clippers,W,102,97
MIA,2013-11-09,7:30p,Boston Celtics,L,110,111
MIA,2013-11-12,7:30p,Milwaukee Bucks,W,118,95
MIA,2013-11-15,7:30p,Dallas Mavericks,W,110,104
MIA,2013-11-16,7:00p,Charlotte Bobcats,W,97,81
MIA,2013-11-19,7:30p,Atlanta Hawks,W,104,88
MIA,2013-11-20,7:00p,Orlando Magic,W,120,92
MIA,2013-11-23,7:30p,Orlando Magic,W,101,99
MIA,2013-11-25,7:30p,Phoenix Suns,W,107,92
MIA,2013-11-27,7:30p,Cleveland Cavaliers,W,95,84
MIA,2013-11-29,7:00p,Toronto Raptors,W,90,83
MIA,2013-12-01,6:00p,Charlotte Bobcats,W,99,98
