NHL Team,Date,Opponent,Result,Team Score,Opponent Score
SJS,2013-04-05,Calgary Flames,W,2,1
SJS,2013-04-07,Dallas Stars,L,4,5
SJS,2013-04-09,Columbus Blue Jackets,L,0,4
SJS,2013-04-11,Detroit Red Wings,W,3,2
SJS,2013-04-13,Dallas Stars,L,1,2
SJS,2013-04-15,Phoenix Coyotes,W,4,0
SJS,2013-04-16,Los Angeles Kings,W,3,2
SJS,2013-04-18,Minnesota Wild,W,6,1
SJS,2013-04-21,Columbus Blue Jackets,L,3,4
SJS,2013-04-23,Dallas Stars,W,3,2
SJS,2013-04-24,Phoenix Coyotes,L,1,2
SJS,2013-04-27,Los Angeles Kings,L,2,3
SJS,2013-10-03,Vancouver Canucks,W,4,1
SJS,2013-10-05,Phoenix Coyotes,W,4,1
SJS,2013-10-08,New York Rangers,W,9,2
SJS,2013-10-10,Vancouver Canucks,W,4,1
SJS,2013-10-12,Ottawa Senators,W,3,2
SJS,2013-10-15,St. Louis Blues,W,6,2
SJS,2013-10-17,Dallas Stars,L,3,4
SJS,2013-10-19,Calgary Flames,W,6,3
SJS,2013-10-21,Detroit Red Wings,W,1,0
SJS,2013-10-24,Boston Bruins,L,1,2
SJS,2013-10-26,Montreal Canadiens,W,2,0
SJS,2013-10-27,Ottawa Senators,W,5,2
SJS,2013-10-30,Los Angeles Kings,L,3,4
SJS,2013-11-02,Phoenix Coyotes,L,2,3
SJS,2013-11-05,Buffalo Sabres,L,4,5
SJS,2013-11-07,Vancouver Canucks,L,2,4
SJS,2013-11-10,Winnipeg Jets,L,4,5
SJS,2013-11-12,Calgary Flames,W,3,2
SJS,2013-11-14,Vancouver Canucks,W,2,1
SJS,2013-11-15,Edmonton Oilers,W,3,1
SJS,2013-11-17,Chicago Blackhawks,L,1,5
SJS,2013-11-21,Tampa Bay Lightning,W,5,1
SJS,2013-11-23,New Jersey Devils,W,2,1
SJS,2013-11-27,Los Angeles Kings,W,3,2
SJS,2013-11-29,St. Louis Blues,W,6,3
SJS,2013-11-30,Anaheim Ducks,W,4,3
SJS,2013-12-03,Toronto Maple Leafs,W,4,2
SJS,2013-12-05,Pittsburgh Penguins,L,1,5
SJS,2013-12-06,Carolina Hurricanes,L,3,5
SJS,2013-12-08,Minnesota Wild,L,1,3
SJS,2013-12-10,New York Islanders,L,2,3
SJS,2013-12-12,Minnesota Wild,W,3,1
SJS,2013-12-14,Nashville Predators,L,2,3
SJS,2013-12-17,St. Louis Blues,W,4,2
SJS,2013-12-19,Los Angeles Kings,L,1,4
SJS,2013-12-21,Dallas Stars,W,3,2
SJS,2013-12-23,Colorado Avalanche,W,5,4
SJS,2013-12-27,Phoenix Coyotes,W,4,3
SJS,2013-12-29,Anaheim Ducks,W,3,1
SJS,2013-12-31,Anaheim Ducks,L,3,6
SJS,2014-01-02,Edmonton Oilers,W,5,1
SJS,2014-01-04,Colorado Avalanche,L,3,4
SJS,2014-01-05,Chicago Blackhawks,W,3,2
SJS,2014-01-07,Nashville Predators,L,2,3
SJS,2014-01-09,Detroit Red Wings,W,4,1
SJS,2014-01-11,Boston Bruins,L,0,1
