NHL Team,Date,Opponent,Result,Team Score,Opponent Score
BOS,2013-04-06,Montreal Canadiens,L,1,2
BOS,2013-04-08,Carolina Hurricanes,W,6,2
BOS,2013-04-10,New Jersey Devils,W,5,4
BOS,2013-04-11,New York Islanders,L,1,2
BOS,2013-04-13,Carolina Hurricanes,L,2,4
BOS,2013-04-17,Buffalo Sabres,L,2,3
BOS,2013-04-20,Pittsburgh Penguins,L,2,3
BOS,2013-04-21,Florida Panthers,W,3,0
BOS,2013-04-23,Philadelphia Flyers,L,2,5
BOS,2013-04-25,Tampa Bay Lightning,W,2,0
BOS,2013-04-27,Washington Capitals,L,2,3
BOS,2013-04-28,Ottawa Senators,L,2,4
BOS,2013-10-03,Tampa Bay Lightning,W,3,1
BOS,2013-10-05,Detroit Red Wings,W,4,1
BOS,2013-10-10,Colorado Avalanche,L,0,2
BOS,2013-10-12,Columbus Blue Jackets,W,3,1
BOS,2013-10-14,Detroit Red Wings,L,2,3
BOS,2013-10-17,Florida Panthers,W,3,2
BOS,2013-10-19,Tampa Bay Lightning,W,5,0
BOS,2013-10-23,Buffalo Sabres,W,5,2
BOS,2013-10-24,San Jose Sharks,W,2,1
BOS,2013-10-26,New Jersey Devils,L,3,4
BOS,2013-10-30,Pittsburgh Penguins,L,2,3
BOS,2013-10-31,Anaheim Ducks,W,3,2
BOS,2013-11-02,New York Islanders,L,1,3
BOS,2013-11-05,Dallas Stars,L,2,3
BOS,2013-11-07,Florida Panthers,W,4,1
BOS,2013-11-09,Toronto Maple Leafs,W,3,1
BOS,2013-11-11,Tampa Bay Lightning,W,3,0
BOS,2013-11-14,Columbus Blue Jackets,W,3,2
BOS,2013-11-15,Ottawa Senators,L,2,4
BOS,2013-11-18,Carolina Hurricanes,W,4,1
BOS,2013-11-19,New York Rangers,W,2,1
BOS,2013-11-21,St. Louis Blues,L,2,3
BOS,2013-11-23,Carolina Hurricanes,W,3,2
BOS,2013-11-25,Pittsburgh Penguins,W,4,3
BOS,2013-11-27,Detroit Red Wings,L,1,6
BOS,2013-11-29,New York Rangers,W,3,2
BOS,2013-11-30,Columbus Blue Jackets,W,3,1
BOS,2013-12-05,Montreal Canadiens,L,1,2
BOS,2013-12-07,Pittsburgh Penguins,W,3,2
BOS,2013-12-08,Toronto Maple Leafs,W,5,2
BOS,2013-12-10,Calgary Flames,W,2,1
