NHL Team,Date,Opponent,Result,Team Score,Opponent Score
LAK,2013-04-06,Edmonton Oilers,W,4,1
LAK,2013-04-07,Anaheim Ducks,L,3,4
LAK,2013-04-09,Dallas Stars,L,1,5
LAK,2013-04-11,Colorado Avalanche,W,3,2
LAK,2013-04-13,Anaheim Ducks,W,2,1
LAK,2013-04-16,San Jose Sharks,L,2,3
LAK,2013-04-18,Columbus Blue Jackets,W,2,1
LAK,2013-04-21,Dallas Stars,W,4,3
LAK,2013-04-23,Minnesota Wild,L,1,2
LAK,2013-04-24,Detroit Red Wings,L,1,3
LAK,2013-04-27,San Jose Sharks,W,3,2
LAK,2013-10-03,Minnesota Wild,W,3,2
LAK,2013-10-04,Winnipeg Jets,L,3,5
LAK,2013-10-07,New York Rangers,L,1,3
LAK,2013-10-09,Ottawa Senators,W,4,3
LAK,2013-10-11,Carolina Hurricanes,W,2,1
LAK,2013-10-13,Florida Panthers,W,3,0
LAK,2013-10-15,Tampa Bay Lightning,L,1,5
LAK,2013-10-17,Nashville Predators,W,2,1
LAK,2013-10-19,Dallas Stars,W,5,2
LAK,2013-10-21,Calgary Flames,L,2,3
LAK,2013-10-24,Phoenix Coyotes,W,7,4
LAK,2013-10-27,Edmonton Oilers,W,2,1
LAK,2013-10-29,Phoenix Coyotes,L,1,3
LAK,2013-10-30,San Jose Sharks,W,4,3
LAK,2013-11-02,Nashville Predators,L,3,4
LAK,2013-11-07,Buffalo Sabres,W,2,0
LAK,2013-11-09,Vancouver Canucks,W,5,1
LAK,2013-11-12,Buffalo Sabres,L,2,3
LAK,2013-11-14,New York Islanders,W,3,2
LAK,2013-11-15,New Jersey Devils,W,2,0
LAK,2013-11-17,New York Rangers,W,1,0
LAK,2013-11-19,Tampa Bay Lightning,W,5,2
LAK,2013-11-21,New Jersey Devils,L,1,2
LAK,2013-11-23,Colorado Avalanche,L,0,1
LAK,2013-11-25,Vancouver Canucks,W,3,2
LAK,2013-11-27,San Jose Sharks,L,2,3
LAK,2013-11-30,Calgary Flames,L,1,2
LAK,2013-12-02,St. Louis Blues,W,3,2
LAK,2013-12-03,Anaheim Ducks,W,3,2
LAK,2013-12-07,New York Islanders,W,3,0
LAK,2013-12-10,Montreal Canadiens,W,6,0
LAK,2013-12-11,Toronto Maple Leafs,W,3,1
LAK,2013-12-14,Ottawa Senators,W,5,2
LAK,2013-12-15,Chicago Blackhawks,L,1,3
LAK,2013-12-17,Edmonton Oilers,W,3,0
LAK,2013-12-19,San Jose Sharks,W,4,1
LAK,2013-12-21,Colorado Avalanche,W,3,2
LAK,2013-12-23,Dallas Stars,L,2,5
LAK,2013-12-28,Nashville Predators,L,2,3
LAK,2013-12-30,Chicago Blackhawks,L,0,1
LAK,2013-12-31,Dallas Stars,L,2,3
LAK,2014-01-02,St. Louis Blues,L,0,5
LAK,2014-01-04,Vancouver Canucks,W,3,1
LAK,2014-01-07,Minnesota Wild,L,1,2
LAK,2014-01-09,Boston Bruins,W,4,2
LAK,2014-01-11,Detroit Red Wings,L,1,3
LAK,2014-01-13,Vancouver Canucks,W,1,0
LAK,2014-01-16,St. Louis Blues,W,4,1
LAK,2014-01-18,Detroit Red Wings,L,2,3
LAK,2014-01-20,Boston Bruins,L,2,3
LAK,2014-01-21,Columbus Blue Jackets,L,3,5
LAK,2014-01-23,Anaheim Ducks,L,1,2
LAK,2014-01-25,Anaheim Ducks,L,0,3
LAK,2014-01-27,San Jose Sharks,W,1,0
LAK,2014-01-28,Phoenix Coyotes,L,0,3
LAK,2014-01-30,Pittsburgh Penguins,L,1,4
LAK,2014-02-01,Philadelphia Flyers,L,0,2
LAK,2014-02-03,Chicago Blackhawks,L,3,5
LAK,2014-02-06,Columbus Blue Jackets,W,2,1
LAK,2014-02-26,Colorado Avalanche,W,6,4
LAK,2014-02-27,Calgary Flames,W,2,0
LAK,2014-03-01,Carolina Hurricanes,W,3,1
LAK,2014-03-03,Montreal Canadiens,W,2,1
