NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
LAC,2013-01-04,10:30p,Los Angeles Lakers,W,107,102
LAC,2013-01-05,10:30p,Golden State Warriors,W,115,89
LAC,2013-01-09,10:30p,Dallas Mavericks,W,99,93
LAC,2013-01-12,3:30p,Orlando Magic,L,101,104
LAC,2013-01-14,8:00p,Memphis Grizzlies,W,99,73
LAC,2013-01-15,8:00p,Houston Rockets,W,117,109
LAC,2013-01-17,8:00p,Minnesota Timberwolves,W,90,77
LAC,2013-01-19,10:30p,Washington Wizards,W,94,87
LAC,2013-01-21,4:00p,Golden State Warriors,L,99,106
LAC,2013-01-22,10:30p,Oklahoma City Thunder,L,97,109
LAC,2013-01-24,10:30p,Phoenix Suns,L,88,93
LAC,2013-01-26,10:00p,Portland Trail Blazers,L,100,101
LAC,2013-01-27,9:30p,Portland Trail Blazers,W,96,83
LAC,2013-01-30,8:00p,Minnesota Timberwolves,W,96,90
LAC,2013-02-01,7:00p,Toronto Raptors,L,73,98
LAC,2013-02-03,1:00p,Boston Celtics,L,104,106
LAC,2013-02-04,7:00p,Washington Wizards,L,90,98
LAC,2013-02-06,7:00p,Orlando Magic,W,86,76
LAC,2013-02-08,8:00p,Miami Heat,L,89,111
LAC,2013-02-10,1:00p,New York Knicks,W,102,88
LAC,2013-02-11,7:00p,Philadelphia 76ers,W,107,90
LAC,2013-02-13,10:30p,Houston Rockets,W,106,96
LAC,2013-02-14,10:30p,Los Angeles Lakers,W,125,101
LAC,2013-02-21,10:30p,San Antonio Spurs,L,90,116
LAC,2013-02-23,10:30p,Utah Jazz,W,107,94
LAC,2013-02-26,10:30p,Charlotte Bobcats,W,106,84
LAC,2013-02-28,7:00p,Indiana Pacers,W,99,91
LAC,2013-03-01,7:30p,Cleveland Cavaliers,W,105,89
LAC,2013-03-03,3:30p,Oklahoma City Thunder,L,104,108
LAC,2013-03-06,10:30p,Milwaukee Bucks,W,117,101
LAC,2013-03-07,10:30p,Denver Nuggets,L,92,107
LAC,2013-03-10,9:30p,Detroit Pistons,W,129,97
LAC,2013-03-13,10:30p,Memphis Grizzlies,L,85,96
LAC,2013-03-17,3:30p,New York Knicks,W,93,80
LAC,2013-03-19,10:00p,Sacramento Kings,L,101,116
LAC,2013-03-20,10:30p,Philadelphia 76ers,W,101,72
LAC,2013-03-23,10:30p,Brooklyn Nets,W,101,95
LAC,2013-03-26,9:30p,Dallas Mavericks,L,102,109
LAC,2013-03-27,8:00p,New Orleans Hornets,W,105,91
LAC,2013-03-29,8:30p,San Antonio Spurs,L,102,104
LAC,2013-03-30,8:00p,Houston Rockets,L,81,98
LAC,2013-04-01,10:30p,Indiana Pacers,L,106,109
LAC,2013-04-03,10:30p,Phoenix Suns,W,126,101
LAC,2013-04-07,3:30p,Los Angeles Lakers,W,109,95
LAC,2013-04-10,10:30p,Minnesota Timberwolves,W,111,95
LAC,2013-04-12,8:00p,New Orleans Hornets,W,96,93
LAC,2013-04-13,8:00p,Memphis Grizzlies,W,91,87
LAC,2013-04-16,10:30p,Portland Trail Blazers,W,93,77
LAC,2013-04-17,10:30p,Sacramento Kings,W,112,108
LAC,2013-10-29,10:30p,Los Angeles Lakers,L,103,116
LAC,2013-10-31,10:30p,Golden State Warriors,W,126,115
LAC,2013-11-01,10:00p,Sacramento Kings,W,110,101
LAC,2013-11-04,10:30p,Houston Rockets,W,137,118
LAC,2013-11-06,7:00p,Orlando Magic,L,90,98
LAC,2013-11-07,7:00p,Miami Heat,L,97,102
LAC,2013-11-09,8:00p,Houston Rockets,W,107,94
LAC,2013-11-11,10:30p,Minnesota Timberwolves,W,109,107
LAC,2013-11-13,10:30p,Oklahoma City Thunder,W,111,103
LAC,2013-11-16,10:30p,Brooklyn Nets,W,110,103
LAC,2013-11-18,10:30p,Memphis Grizzlies,L,102,106
LAC,2013-11-20,8:00p,Minnesota Timberwolves,W,102,98
LAC,2013-11-21,8:00p,Oklahoma City Thunder,L,91,105
LAC,2013-11-23,3:30p,Sacramento Kings,W,103,102
LAC,2013-11-24,3:30p,Chicago Bulls,W,121,82
LAC,2013-11-27,10:30p,New York Knicks,W,93,80
LAC,2013-11-29,10:00p,Sacramento Kings,W,104,98
LAC,2013-12-01,3:30p,Indiana Pacers,L,100,105
LAC,2013-12-04,7:30p,Atlanta Hawks,L,97,107
LAC,2013-12-05,8:00p,Memphis Grizzlies,W,101,81
LAC,2013-12-07,7:30p,Cleveland Cavaliers,L,82,88
LAC,2013-12-09,7:00p,Philadelphia 76ers,W,94,83
LAC,2013-12-11,7:30p,Boston Celtics,W,96,88
LAC,2013-12-12,8:00p,Brooklyn Nets,L,93,102
LAC,2013-12-14,7:00p,Washington Wizards,W,113,97
LAC,2013-12-16,10:30p,San Antonio Spurs,W,115,92
LAC,2013-12-18,10:30p,New Orleans Pelicans,W,108,95
LAC,2013-12-21,10:30p,Denver Nuggets,W,112,91
LAC,2013-12-22,9:30p,Minnesota Timberwolves,W,120,116
LAC,2013-12-25,10:30p,Golden State Warriors,L,103,105
LAC,2013-12-26,10:30p,Portland Trail Blazers,L,112,116
LAC,2013-12-28,10:30p,Utah Jazz,W,98,90
LAC,2013-12-30,10:30p,Phoenix Suns,L,88,107
LAC,2014-01-01,9:30p,Charlotte Bobcats,W,112,85
