NHL Team,Date,Opponent,Result,Team Score,Opponent Score
WSH,2013-04-04,New York Islanders,W,2,1
WSH,2013-04-06,Florida Panthers,W,4,3
WSH,2013-04-07,Tampa Bay Lightning,W,4,2
WSH,2013-04-09,Montreal Canadiens,W,3,2
WSH,2013-04-11,Carolina Hurricanes,W,3,1
WSH,2013-04-13,Tampa Bay Lightning,W,6,5
WSH,2013-04-16,Toronto Maple Leafs,W,5,1
WSH,2013-04-18,Ottawa Senators,L,1,3
WSH,2013-04-20,Montreal Canadiens,W,5,1
WSH,2013-04-23,Winnipeg Jets,W,5,3
WSH,2013-04-25,Ottawa Senators,L,1,2
WSH,2013-04-27,Boston Bruins,W,3,2
WSH,2013-10-01,Chicago Blackhawks,L,4,6
WSH,2013-10-03,Calgary Flames,W,5,4
WSH,2013-10-05,Dallas Stars,L,1,2
WSH,2013-10-10,Carolina Hurricanes,L,2,3
WSH,2013-10-12,Colorado Avalanche,L,1,5
WSH,2013-10-14,Edmonton Oilers,W,4,2
WSH,2013-10-16,New York Rangers,L,0,2
WSH,2013-10-19,Columbus Blue Jackets,W,4,1
WSH,2013-10-22,Winnipeg Jets,W,5,4
WSH,2013-10-24,Edmonton Oilers,W,4,1
WSH,2013-10-26,Calgary Flames,L,2,5
WSH,2013-10-28,Vancouver Canucks,L,2,3
WSH,2013-11-01,Philadelphia Flyers,W,7,0
WSH,2013-11-02,Florida Panthers,W,3,2
WSH,2013-11-05,New York Islanders,W,6,2
WSH,2013-11-07,Minnesota Wild,W,3,2
WSH,2013-11-09,Phoenix Coyotes,L,3,4
WSH,2013-11-10,Colorado Avalanche,L,1,4
WSH,2013-11-12,Columbus Blue Jackets,W,4,3
WSH,2013-11-15,Detroit Red Wings,W,4,3
WSH,2013-11-17,St. Louis Blues,W,4,1
WSH,2013-11-20,Pittsburgh Penguins,L,0,4
WSH,2013-11-22,Montreal Canadiens,L,2,3
WSH,2013-11-23,Toronto Maple Leafs,L,1,2
WSH,2013-11-27,Ottawa Senators,L,4,6
WSH,2013-11-29,Montreal Canadiens,W,3,2
WSH,2013-11-30,New York Islanders,W,3,2
WSH,2013-12-03,Carolina Hurricanes,L,1,4
WSH,2013-12-07,Nashville Predators,W,5,2
WSH,2013-12-08,New York Rangers,W,4,1
WSH,2013-12-10,Tampa Bay Lightning,W,6,5
WSH,2013-12-13,Florida Panthers,L,2,3
WSH,2013-12-15,Philadelphia Flyers,W,5,4
WSH,2013-12-17,Philadelphia Flyers,L,2,5
WSH,2013-12-20,Carolina Hurricanes,W,4,2
WSH,2013-12-21,New Jersey Devils,L,4,5
WSH,2013-12-23,Anaheim Ducks,L,2,3
WSH,2013-12-27,New York Rangers,W,3,2
WSH,2013-12-29,Buffalo Sabres,L,1,2
WSH,2013-12-30,Ottawa Senators,L,1,3
WSH,2014-01-02,Carolina Hurricanes,L,3,4
WSH,2014-01-04,Minnesota Wild,L,3,5
WSH,2014-01-09,Tampa Bay Lightning,W,4,3
WSH,2014-01-10,Toronto Maple Leafs,W,3,2
WSH,2014-01-12,Buffalo Sabres,L,1,2
WSH,2014-01-14,San Jose Sharks,L,1,2
WSH,2014-01-15,Pittsburgh Penguins,L,3,4
WSH,2014-01-17,Columbus Blue Jackets,L,1,5
WSH,2014-01-19,New York Rangers,L,1,4
WSH,2014-01-21,Ottawa Senators,L,0,2
WSH,2014-01-24,New Jersey Devils,L,1,2
WSH,2014-01-25,Montreal Canadiens,W,5,0
WSH,2014-01-28,Buffalo Sabres,W,5,4
WSH,2014-01-30,Columbus Blue Jackets,L,2,5
WSH,2014-01-31,Detroit Red Wings,L,3,4
WSH,2014-02-02,Detroit Red Wings,W,6,5
WSH,2014-02-04,New York Islanders,L,0,1
WSH,2014-02-06,Winnipeg Jets,W,4,2
WSH,2014-02-08,New Jersey Devils,W,3,0
WSH,2014-02-27,Florida Panthers,W,5,4
WSH,2014-03-01,Boston Bruins,W,4,2
WSH,2014-03-02,Philadelphia Flyers,L,4,5
