NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
PHO,2013-01-04,9:00p,Utah Jazz,L,80,87
PHO,2013-01-06,8:00p,Memphis Grizzlies,L,81,92
PHO,2013-01-08,8:00p,Milwaukee Bucks,L,99,108
PHO,2013-01-09,7:30p,Boston Celtics,L,79,87
PHO,2013-01-11,7:30p,Brooklyn Nets,L,79,99
PHO,2013-01-12,8:00p,Chicago Bulls,W,97,81
PHO,2013-01-14,9:00p,Oklahoma City Thunder,L,90,102
PHO,2013-01-17,9:00p,Milwaukee Bucks,L,94,98
PHO,2013-01-23,10:00p,Sacramento Kings,W,106,96
PHO,2013-01-24,10:30p,Los Angeles Clippers,W,93,88
PHO,2013-01-26,8:30p,San Antonio Spurs,L,99,108
PHO,2013-01-27,7:30p,Dallas Mavericks,L,95,110
PHO,2013-01-30,10:30p,Los Angeles Lakers,W,92,86
PHO,2013-02-01,9:00p,Dallas Mavericks,L,99,109
PHO,2013-02-02,10:30p,Golden State Warriors,L,93,113
PHO,2013-02-05,8:00p,Memphis Grizzlies,W,96,90
PHO,2013-02-06,8:00p,New Orleans Hornets,L,84,93
PHO,2013-02-08,8:00p,Oklahoma City Thunder,L,96,127
PHO,2013-02-10,8:00p,Oklahoma City Thunder,L,69,97
PHO,2013-02-12,10:30p,Los Angeles Lakers,L,85,91
PHO,2013-02-19,10:00p,Portland Trail Blazers,W,102,98
PHO,2013-02-20,10:30p,Golden State Warriors,L,98,108
PHO,2013-02-22,9:00p,Boston Celtics,L,88,113
PHO,2013-02-24,8:00p,San Antonio Spurs,L,87,97
PHO,2013-02-26,9:00p,Minnesota Timberwolves,W,84,83
PHO,2013-02-27,8:30p,San Antonio Spurs,W,105,101
PHO,2013-03-01,9:00p,Atlanta Hawks,W,92,87
PHO,2013-03-06,9:00p,Toronto Raptors,L,71,98
PHO,2013-03-08,10:00p,Sacramento Kings,L,112,121
PHO,2013-03-09,9:00p,Houston Rockets,W,107,105
PHO,2013-03-11,10:00p,Denver Nuggets,L,93,108
PHO,2013-03-13,8:00p,Houston Rockets,L,81,111
PHO,2013-03-15,7:30p,Atlanta Hawks,L,94,107
PHO,2013-03-16,7:00p,Washington Wizards,L,105,127
PHO,2013-03-18,10:00p,Los Angeles Lakers,W,99,76
PHO,2013-03-20,10:00p,Washington Wizards,L,79,88
PHO,2013-03-22,10:00p,Minnesota Timberwolves,L,86,117
PHO,2013-03-24,9:00p,Brooklyn Nets,L,100,102
PHO,2013-03-27,9:00p,Utah Jazz,L,88,103
PHO,2013-03-28,10:00p,Sacramento Kings,L,103,117
PHO,2013-03-30,10:00p,Indiana Pacers,L,104,112
PHO,2013-04-03,10:30p,Los Angeles Clippers,L,101,126
PHO,2013-04-05,10:00p,Golden State Warriors,L,107,111
PHO,2013-04-07,9:00p,New Orleans Hornets,L,92,95
PHO,2013-04-09,8:00p,Houston Rockets,L,98,101
PHO,2013-04-10,8:30p,Dallas Mavericks,W,102,91
PHO,2013-04-13,8:00p,Minnesota Timberwolves,L,93,105
PHO,2013-04-15,10:00p,Houston Rockets,W,119,112
PHO,2013-04-17,8:00p,Denver Nuggets,L,98,118
PHO,2013-10-30,10:00p,Portland Trail Blazers,W,104,91
PHO,2013-11-01,10:00p,Utah Jazz,W,87,84
PHO,2013-11-03,7:00p,Oklahoma City Thunder,L,96,103
PHO,2013-11-05,8:00p,New Orleans Pelicans,W,104,98
PHO,2013-11-06,8:30p,San Antonio Spurs,L,96,99
PHO,2013-11-08,9:00p,Denver Nuggets,W,114,103
PHO,2013-11-10,8:00p,New Orleans Pelicans,W,101,94
PHO,2013-11-13,10:00p,Portland Trail Blazers,L,89,90
PHO,2013-11-15,9:00p,Brooklyn Nets,L,98,100
PHO,2013-11-19,10:00p,Sacramento Kings,L,104,107
