NBA Team,Date,Start,Opponent,Result,Team Score,Opponent Score
CHI,2013-01-12,8:00p,Phoenix Suns,L,81,97
CHI,2013-01-14,8:00p,Atlanta Hawks,W,97,58
CHI,2013-01-16,7:00p,Toronto Raptors,W,107,105
CHI,2013-01-18,7:00p,Boston Celtics,W,100,99
CHI,2013-01-19,8:00p,Memphis Grizzlies,L,82,85
CHI,2013-01-21,9:30p,Los Angeles Lakers,W,95,83
CHI,2013-01-23,8:00p,Detroit Pistons,W,85,82
CHI,2013-01-25,8:00p,Golden State Warriors,W,103,87
CHI,2013-01-26,7:00p,Washington Wizards,L,73,86
CHI,2013-01-28,8:00p,Charlotte Bobcats,W,93,85
CHI,2013-01-30,8:00p,Milwaukee Bucks,W,104,88
CHI,2013-02-01,7:30p,Brooklyn Nets,L,89,93
CHI,2013-02-02,7:00p,Atlanta Hawks,W,93,76
CHI,2013-02-04,7:00p,Indiana Pacers,L,101,111
CHI,2013-02-07,10:30p,Denver Nuggets,L,96,128
CHI,2013-02-08,10:30p,Utah Jazz,W,93,89
CHI,2013-02-11,8:00p,San Antonio Spurs,L,89,103
CHI,2013-02-13,7:30p,Boston Celtics,L,69,71
CHI,2013-02-19,8:00p,New Orleans Hornets,W,96,87
CHI,2013-02-21,8:00p,Miami Heat,L,67,86
CHI,2013-02-22,7:00p,Charlotte Bobcats,W,105,75
CHI,2013-02-24,9:30p,Oklahoma City Thunder,L,72,102
CHI,2013-02-26,8:00p,Cleveland Cavaliers,L,98,101
CHI,2013-02-28,8:00p,Philadelphia 76ers,W,93,82
CHI,2013-03-02,8:00p,Brooklyn Nets,W,96,85
CHI,2013-03-03,8:00p,Indiana Pacers,L,92,97
CHI,2013-03-06,9:00p,San Antonio Spurs,L,83,101
CHI,2013-03-08,8:00p,Utah Jazz,W,89,88
CHI,2013-03-10,3:30p,Los Angeles Lakers,L,81,90
CHI,2013-03-13,10:00p,Sacramento Kings,L,79,121
CHI,2013-03-15,10:30p,Golden State Warriors,W,113,95
CHI,2013-03-18,8:00p,Denver Nuggets,L,118,119
CHI,2013-03-21,8:00p,Portland Trail Blazers,L,89,99
CHI,2013-03-23,8:00p,Indiana Pacers,W,87,84
CHI,2013-03-24,7:00p,Minnesota Timberwolves,W,104,97
CHI,2013-03-27,8:00p,Miami Heat,W,101,97
CHI,2013-03-30,2:00p,Dallas Mavericks,L,98,100
CHI,2013-03-31,7:00p,Detroit Pistons,W,95,94
CHI,2013-04-02,7:00p,Washington Wizards,L,86,90
CHI,2013-04-04,7:00p,Brooklyn Nets,W,92,90
CHI,2013-04-05,8:00p,Orlando Magic,W,87,86
CHI,2013-04-07,7:30p,Detroit Pistons,L,85,99
CHI,2013-04-09,8:00p,Toronto Raptors,L,98,101
CHI,2013-04-11,8:00p,New York Knicks,W,118,111
CHI,2013-04-12,7:00p,Toronto Raptors,L,88,97
CHI,2013-04-14,1:00p,Miami Heat,L,93,105
CHI,2013-04-15,7:00p,Orlando Magic,W,102,84
CHI,2013-04-17,8:00p,Washington Wizards,W,95,92
CHI,2013-10-29,8:00p,Miami Heat,L,95,107
CHI,2013-10-31,8:00p,New York Knicks,W,82,81
CHI,2013-11-02,7:30p,Philadelphia 76ers,L,104,107
CHI,2013-11-06,7:00p,Indiana Pacers,L,80,97
CHI,2013-11-08,8:00p,Utah Jazz,W,97,73
CHI,2013-11-11,8:00p,Cleveland Cavaliers,W,96,81
CHI,2013-11-15,7:00p,Toronto Raptors,W,96,80
CHI,2013-11-16,8:00p,Indiana Pacers,W,110,94
CHI,2013-11-18,8:00p,Charlotte Bobcats,W,86,81
CHI,2013-11-21,10:30p,Denver Nuggets,L,87,97
CHI,2013-11-22,10:00p,Portland Trail Blazers,L,95,98
CHI,2013-11-24,3:30p,Los Angeles Clippers,L,82,121
CHI,2013-11-25,9:00p,Utah Jazz,L,83,89
CHI,2013-11-27,7:30p,Detroit Pistons,W,99,79
CHI,2013-11-30,7:30p,Cleveland Cavaliers,L,93,97
CHI,2013-12-02,8:00p,New Orleans Pelicans,L,128,131
CHI,2013-12-05,9:30p,Miami Heat,W,107,87
CHI,2013-12-07,8:00p,Detroit Pistons,L,75,92
CHI,2013-12-10,8:00p,Milwaukee Bucks,L,74,78
CHI,2013-12-11,8:00p,New York Knicks,L,78,83
CHI,2013-12-13,8:30p,Milwaukee Bucks,W,91,90
CHI,2013-12-14,8:00p,Toronto Raptors,L,77,99
CHI,2013-12-16,8:00p,Orlando Magic,L,82,83
CHI,2013-12-18,9:30p,Houston Rockets,L,94,109
CHI,2013-12-19,8:00p,Oklahoma City Thunder,L,95,107
CHI,2013-12-21,8:00p,Cleveland Cavaliers,W,100,84
CHI,2013-12-25,12:00p,Brooklyn Nets,W,95,78
CHI,2013-12-28,8:00p,Dallas Mavericks,L,83,105
CHI,2013-12-30,8:00p,Memphis Grizzlies,W,95,91
CHI,2013-12-31,8:00p,Toronto Raptors,L,79,85
CHI,2014-01-02,8:00p,Boston Celtics,W,94,82
CHI,2014-01-04,8:00p,Atlanta Hawks,W,91,84
CHI,2014-01-07,8:00p,Phoenix Suns,W,92,87
CHI,2014-01-10,8:30p,Milwaukee Bucks,W,81,72
CHI,2014-01-11,8:00p,Charlotte Bobcats,W,103,97
CHI,2014-01-13,8:00p,Washington Wizards,L,88,102
CHI,2014-01-15,7:00p,Orlando Magic,W,128,125
CHI,2014-01-17,7:00p,Washington Wizards,L,93,96
CHI,2014-01-18,8:00p,Philadelphia 76ers,W,103,78
CHI,2014-01-20,8:00p,Los Angeles Lakers,W,102,100
CHI,2014-01-22,7:00p,Cleveland Cavaliers,W,98,87
CHI,2014-01-24,8:00p,Los Angeles Clippers,L,95,112
CHI,2014-01-25,7:00p,Charlotte Bobcats,W,89,87
CHI,2014-01-27,8:00p,Minnesota Timberwolves,L,86,95
CHI,2014-01-29,9:30p,San Antonio Spurs,W,96,86
CHI,2014-02-01,8:00p,New Orleans Pelicans,L,79,88
CHI,2014-02-03,10:00p,Sacramento Kings,L,70,99
CHI,2014-02-04,9:00p,Phoenix Suns,W,101,92
CHI,2014-02-06,10:30p,Golden State Warriors,L,87,102
CHI,2014-02-09,3:30p,Los Angeles Lakers,W,92,86
CHI,2014-02-11,8:00p,Atlanta Hawks,W,100,85
CHI,2014-02-13,8:00p,Brooklyn Nets,W,92,76
CHI,2014-02-19,7:00p,Toronto Raptors,W,94,92
CHI,2014-02-21,8:00p,Denver Nuggets,W,117,89
CHI,2014-02-23,3:30p,Miami Heat,L,79,93
CHI,2014-02-25,7:30p,Atlanta Hawks,W,107,103
CHI,2014-02-26,8:00p,Golden State Warriors,W,103,83
CHI,2014-02-28,8:30p,Dallas Mavericks,W,100,91
CHI,2014-03-02,1:00p,New York Knicks,W,109,90
CHI,2014-03-03,7:30p,Brooklyn Nets,L,80,96
CHI,2014-03-05,7:30p,Detroit Pistons,W,105,94
CHI,2014-03-07,7:00p,Memphis Grizzlies,L,77,85
CHI,2014-03-09,1:00p,Miami Heat,W,95,88
CHI,2014-03-11,8:00p,San Antonio Spurs,L,96,104
CHI,2014-03-13,7:00p,Houston Rockets,W,111,87
CHI,2014-03-15,8:00p,Sacramento Kings,W,94,87
CHI,2014-03-17,8:00p,Oklahoma City Thunder,L,85,97
CHI,2014-03-19,7:00p,Philadelphia 76ers,W,102,94
CHI,2014-03-21,7:00p,Indiana Pacers,L,79,91
CHI,2014-03-22,8:00p,Philadelphia 76ers,W,91,81
CHI,2014-03-24,8:00p,Indiana Pacers,W,89,77
CHI,2014-03-28,8:00p,Portland Trail Blazers,L,74,91
CHI,2014-03-30,7:00p,Boston Celtics,W,107,102
CHI,2014-03-31,8:00p,Boston Celtics,W,94,80
CHI,2014-04-02,7:30p,Atlanta Hawks,W,105,92
CHI,2014-04-04,8:00p,Milwaukee Bucks,W,102,90
CHI,2014-04-05,7:00p,Washington Wizards,W,96,78
CHI,2014-04-09,8:00p,Minnesota Timberwolves,W,102,87
CHI,2014-04-11,8:00p,Detroit Pistons,W,106,98
CHI,2014-04-13,7:30p,New York Knicks,L,89,100
CHI,2014-04-14,8:00p,Orlando Magic,W,108,95
CHI,2014-04-16,7:00p,Charlotte Bobcats,L,86,91
CHI,2014-10-29,8:00p,New York Knicks,W,104,80
CHI,2014-10-31,8:00p,Cleveland Cavaliers,L,108,114
CHI,2014-11-01,8:00p,Minnesota Timberwolves,W,106,105
CHI,2014-11-04,8:00p,Orlando Magic,W,98,90
CHI,2014-11-05,8:00p,Milwaukee Bucks,W,95,86
CHI,2014-11-07,7:00p,Philadelphia 76ers,W,118,115
CHI,2014-11-08,8:00p,Boston Celtics,L,101,106
CHI,2014-11-10,8:00p,Detroit Pistons,W,102,91
