NHL Team,Date,Opponent,Result,Team Score,Opponent Score
FLA,2013-04-02,Tampa Bay Lightning,W,3,2
FLA,2013-04-06,Washington Capitals,L,3,4
FLA,2013-04-07,Ottawa Senators,W,2,1
FLA,2013-04-11,Winnipeg Jets,L,2,7
FLA,2013-04-13,Pittsburgh Penguins,L,1,3
FLA,2013-04-16,New York Islanders,L,2,5
FLA,2013-04-18,New York Rangers,L,1,6
FLA,2013-04-20,New Jersey Devils,L,2,6
FLA,2013-04-21,Boston Bruins,L,0,3
FLA,2013-04-23,New York Rangers,W,3,2
FLA,2013-04-25,Toronto Maple Leafs,L,0,4
FLA,2013-04-27,Tampa Bay Lightning,W,5,3
FLA,2013-10-03,Dallas Stars,W,4,2
FLA,2013-10-05,St. Louis Blues,L,0,7
FLA,2013-10-08,Philadelphia Flyers,L,1,2
FLA,2013-10-10,Tampa Bay Lightning,L,2,7
FLA,2013-10-11,Pittsburgh Penguins,W,6,3
FLA,2013-10-13,Los Angeles Kings,L,0,3
FLA,2013-10-15,Nashville Predators,L,3,4
FLA,2013-10-17,Boston Bruins,L,2,3
FLA,2013-10-19,Minnesota Wild,W,2,1
FLA,2013-10-22,Chicago Blackhawks,L,2,3
FLA,2013-10-25,Buffalo Sabres,L,1,3
FLA,2013-10-27,Tampa Bay Lightning,L,3,4
FLA,2013-11-01,St. Louis Blues,L,0,4
FLA,2013-11-02,Washington Capitals,L,2,3
FLA,2013-11-05,Edmonton Oilers,L,3,4
FLA,2013-11-07,Boston Bruins,L,1,4
FLA,2013-11-09,Ottawa Senators,L,2,3
FLA,2013-11-10,New York Rangers,L,3,4
FLA,2013-11-12,Anaheim Ducks,W,3,2
FLA,2013-11-15,Minnesota Wild,L,2,3
FLA,2013-11-16,Colorado Avalanche,W,4,1
FLA,2013-11-19,Vancouver Canucks,W,3,2
FLA,2013-11-21,Edmonton Oilers,L,1,4
FLA,2013-11-22,Calgary Flames,L,3,4
FLA,2013-11-25,Philadelphia Flyers,W,3,1
FLA,2013-11-27,New York Rangers,L,2,5
FLA,2013-11-30,Pittsburgh Penguins,L,1,5
FLA,2013-12-03,Ottawa Senators,L,2,4
FLA,2013-12-05,Winnipeg Jets,W,5,2
FLA,2013-12-07,Detroit Red Wings,W,2,1
FLA,2013-12-08,Chicago Blackhawks,L,2,6
FLA,2013-12-10,Detroit Red Wings,W,3,2
FLA,2013-12-13,Washington Capitals,W,3,2
FLA,2013-12-15,Montreal Canadiens,W,2,1
FLA,2013-12-17,Toronto Maple Leafs,W,3,1
FLA,2013-12-19,Ottawa Senators,W,4,2
FLA,2013-12-20,Winnipeg Jets,L,2,5
FLA,2013-12-23,Tampa Bay Lightning,L,1,6
FLA,2013-12-28,Detroit Red Wings,L,3,4
FLA,2013-12-29,Montreal Canadiens,W,4,1
FLA,2013-12-31,New York Rangers,L,1,2
FLA,2014-01-04,Nashville Predators,W,5,4
FLA,2014-01-06,Montreal Canadiens,L,1,2
FLA,2014-01-09,Buffalo Sabres,W,2,1
FLA,2014-01-11,New Jersey Devils,L,1,2
FLA,2014-01-14,New York Islanders,W,4,2
FLA,2014-01-16,San Jose Sharks,L,0,3
FLA,2014-01-18,Carolina Hurricanes,L,2,3
FLA,2014-01-20,Pittsburgh Penguins,W,5,1
FLA,2014-01-21,Buffalo Sabres,W,4,3
FLA,2014-01-24,Colorado Avalanche,L,2,3
FLA,2014-01-26,Detroit Red Wings,W,5,4
FLA,2014-01-28,Boston Bruins,L,2,6
FLA,2014-01-30,Toronto Maple Leafs,L,3,6
FLA,2014-02-01,Columbus Blue Jackets,L,1,4
FLA,2014-02-04,Toronto Maple Leafs,W,4,1
FLA,2014-02-06,Detroit Red Wings,L,1,3
FLA,2014-02-07,Carolina Hurricanes,L,1,5
FLA,2014-02-27,Washington Capitals,L,4,5
FLA,2014-03-01,Columbus Blue Jackets,L,3,6
FLA,2014-03-02,New York Islanders,W,5,3
FLA,2014-03-04,Boston Bruins,L,1,4
FLA,2014-03-07,Buffalo Sabres,W,2,0
FLA,2014-03-09,Boston Bruins,L,2,5
FLA,2014-03-11,Phoenix Coyotes,L,1,3
FLA,2014-03-13,Tampa Bay Lightning,L,4,5
FLA,2014-03-14,New Jersey Devils,W,5,3
FLA,2014-03-16,Vancouver Canucks,L,3,4
FLA,2014-03-18,San Jose Sharks,W,3,2
FLA,2014-03-20,Phoenix Coyotes,L,1,2
FLA,2014-03-22,Los Angeles Kings,L,0,4
FLA,2014-03-23,Anaheim Ducks,L,2,6
FLA,2014-03-25,Ottawa Senators,W,3,2
FLA,2014-03-27,Carolina Hurricanes,L,0,3
FLA,2014-03-29,Montreal Canadiens,L,1,4
FLA,2014-03-31,New Jersey Devils,L,3,6
FLA,2014-04-01,New York Islanders,L,2,4
FLA,2014-04-04,Calgary Flames,L,1,2
FLA,2014-04-06,Dallas Stars,W,3,2
FLA,2014-04-08,Philadelphia Flyers,L,2,5
FLA,2014-04-10,Toronto Maple Leafs,W,4,2
FLA,2014-04-12,Columbus Blue Jackets,L,2,3
FLA,2014-10-09,Tampa Bay Lightning,L,2,3
FLA,2014-10-11,New Jersey Devils,L,1,5
FLA,2014-10-13,Ottawa Senators,L,0,1
FLA,2014-10-17,Buffalo Sabres,W,1,0
FLA,2014-10-18,Washington Capitals,L,1,2
FLA,2014-10-21,Colorado Avalanche,W,4,3
FLA,2014-10-25,Arizona Coyotes,L,1,2
FLA,2014-10-30,Arizona Coyotes,W,2,1
FLA,2014-11-01,Philadelphia Flyers,W,2,1
FLA,2014-11-04,Boston Bruins,L,1,2
FLA,2014-11-06,Philadelphia Flyers,L,1,4
FLA,2014-11-08,Calgary Flames,L,4,6
FLA,2014-11-11,San Jose Sharks,W,4,1
FLA,2014-11-14,New York Islanders,L,3,4
FLA,2014-11-16,Anaheim Ducks,W,6,2
FLA,2014-11-18,Los Angeles Kings,L,2,5
FLA,2014-11-20,San Jose Sharks,W,3,2
FLA,2014-11-22,Nashville Predators,L,2,3
FLA,2014-11-24,Minnesota Wild,L,1,4
FLA,2014-11-26,Carolina Hurricanes,W,1,0
FLA,2014-11-28,Ottawa Senators,W,3,2
FLA,2014-12-01,Columbus Blue Jackets,L,1,2
FLA,2014-12-02,Detroit Red Wings,W,4,3
FLA,2014-12-04,Columbus Blue Jackets,L,3,4
FLA,2014-12-06,Buffalo Sabres,W,3,2
FLA,2014-12-08,St. Louis Blues,L,2,4
FLA,2014-12-12,Detroit Red Wings,W,3,2
FLA,2014-12-13,Buffalo Sabres,L,3,4
FLA,2014-12-16,Washington Capitals,W,2,1
FLA,2014-12-18,Philadelphia Flyers,W,2,1
FLA,2014-12-20,Pittsburgh Penguins,L,1,3
FLA,2014-12-22,Pittsburgh Penguins,W,4,3
FLA,2014-12-28,Toronto Maple Leafs,W,6,4
FLA,2014-12-30,Montreal Canadiens,L,1,2
FLA,2014-12-31,New York Rangers,L,2,5
FLA,2015-01-02,Buffalo Sabres,W,2,0
FLA,2015-01-04,Washington Capitals,L,3,4
FLA,2015-01-08,Vancouver Canucks,W,3,1
FLA,2015-01-09,Calgary Flames,W,6,5
FLA,2015-01-11,Edmonton Oilers,W,4,2
FLA,2015-01-13,Winnipeg Jets,L,2,8
FLA,2015-01-15,Colorado Avalanche,L,2,4
FLA,2015-01-17,Edmonton Oilers,L,2,3
FLA,2015-01-19,Vancouver Canucks,L,1,2
FLA,2015-01-27,Detroit Red Wings,L,4,5
FLA,2015-01-29,Columbus Blue Jackets,W,3,2
FLA,2015-01-31,New Jersey Devils,L,1,3
FLA,2015-02-02,New York Rangers,L,3,6
FLA,2015-02-03,New York Islanders,W,4,2
FLA,2015-02-05,Los Angeles Kings,W,3,2
FLA,2015-02-08,Nashville Predators,L,2,3
FLA,2015-02-10,Anaheim Ducks,W,6,2
FLA,2015-02-12,Minnesota Wild,L,1,2
FLA,2015-02-13,Dallas Stars,L,0,2
FLA,2015-02-15,St. Louis Blues,L,1,2
FLA,2015-02-17,Toronto Maple Leafs,W,3,2
FLA,2015-02-19,Montreal Canadiens,W,3,2
FLA,2015-02-21,Ottawa Senators,L,1,4
FLA,2015-02-22,Pittsburgh Penguins,L,1,5
FLA,2015-02-24,Chicago Blackhawks,L,2,3
FLA,2015-02-26,Chicago Blackhawks,L,0,3
FLA,2015-02-28,Buffalo Sabres,W,5,3
FLA,2015-03-01,Tampa Bay Lightning,W,4,3
FLA,2015-03-03,Toronto Maple Leafs,L,2,3
FLA,2015-03-05,Dallas Stars,L,3,4
FLA,2015-03-07,New York Islanders,W,4,3
FLA,2015-03-12,Winnipeg Jets,W,4,2
FLA,2015-03-14,Carolina Hurricanes,W,2,0
FLA,2015-03-15,New York Rangers,L,1,2
FLA,2015-03-17,Montreal Canadiens,L,2,3
FLA,2015-03-19,Detroit Red Wings,W,3,1
FLA,2015-03-21,Boston Bruins,W,2,1
