Date,NHL Team,NHL Opponent,NHL Result,NHL Team Score,NHL Opponent Score,NBA Team,NBA Opponent,NBA Result,NBA Team Score,NBA Opponent Score
2016-04-07,ARI,Nashville Predators,L,2.0,3.0,PHO,Houston Rockets,W,124.0,115.0
2016-04-09,ARI,San Jose Sharks,L,0.0,1.0,PHO,New Orleans Pelicans,W,121.0,100.0
2016-11-04,ARI,Anaheim Ducks,L,1.0,5.0,PHO,New Orleans Pelicans,W,112.0,111.0
2016-11-08,ARI,Colorado Avalanche,W,4.0,2.0,PHO,Portland Trail Blazers,L,121.0,124.0
2016-11-12,ARI,Boston Bruins,L,1.0,2.0,PHO,Brooklyn Nets,L,104.0,122.0
2016-11-16,ARI,Calgary Flames,L,1.0,2.0,PHO,Denver Nuggets,L,104.0,120.0
2016-11-19,ARI,San Jose Sharks,W,3.0,2.0,PHO,Philadelphia 76ers,L,105.0,120.0
2016-11-23,ARI,Vancouver Canucks,L,1.0,4.0,PHO,Orlando Magic,W,92.0,87.0
2016-11-25,ARI,Edmonton Oilers,W,3.0,2.0,PHO,Minnesota Timberwolves,L,85.0,98.0
2016-11-27,ARI,Edmonton Oilers,W,2.0,1.0,PHO,Denver Nuggets,L,114.0,120.0
2016-12-03,ARI,Columbus Blue Jackets,L,2.0,3.0,PHO,Golden State Warriors,L,109.0,138.0
2016-12-06,ARI,Chicago Blackhawks,L,0.0,4.0,PHO,Utah Jazz,L,105.0,112.0
2016-12-13,ARI,Detroit Red Wings,W,4.0,1.0,PHO,New York Knicks,W,113.0,111.0
2016-12-15,ARI,Toronto Maple Leafs,W,3.0,2.0,PHO,San Antonio Spurs,L,92.0,107.0
2016-12-17,ARI,Minnesota Wild,L,1.0,4.0,PHO,Oklahoma City Thunder,L,101.0,114.0
2016-12-19,ARI,Calgary Flames,L,2.0,4.0,PHO,Minnesota Timberwolves,L,108.0,115.0
2016-12-21,ARI,Edmonton Oilers,L,2.0,3.0,PHO,Houston Rockets,L,111.0,125.0
2016-12-23,ARI,Toronto Maple Leafs,L,1.0,4.0,PHO,Philadelphia 76ers,W,123.0,116.0
2016-12-29,ARI,New York Rangers,L,3.0,6.0,PHO,Toronto Raptors,W,99.0,91.0
2016-12-31,ARI,Calgary Flames,L,2.0,4.0,PHO,Utah Jazz,L,86.0,91.0
2017-01-14,ARI,Anaheim Ducks,L,0.0,3.0,PHO,San Antonio Spurs,W,108.0,105.0
2017-01-16,ARI,Edmonton Oilers,L,1.0,3.0,PHO,Utah Jazz,L,101.0,106.0
2017-01-19,ARI,Minnesota Wild,L,3.0,4.0,PHO,Cleveland Cavaliers,L,103.0,118.0
2017-01-21,ARI,Tampa Bay Lightning,W,5.0,3.0,PHO,New York Knicks,W,107.0,105.0
2017-01-26,ARI,Vancouver Canucks,W,3.0,0.0,PHO,Denver Nuggets,L,120.0,127.0
2017-02-04,ARI,San Jose Sharks,W,3.0,2.0,PHO,Milwaukee Bucks,L,112.0,137.0
2017-02-11,ARI,Pittsburgh Penguins,W,4.0,3.0,PHO,Houston Rockets,L,102.0,133.0
2017-02-13,ARI,Calgary Flames,W,5.0,0.0,PHO,New Orleans Pelicans,L,108.0,110.0
2017-02-24,ARI,Dallas Stars,L,2.0,5.0,PHO,Chicago Bulls,L,121.0,128.0
2017-02-26,ARI,Buffalo Sabres,W,3.0,2.0,PHO,Milwaukee Bucks,L,96.0,100.0
2017-02-28,ARI,Boston Bruins,L,1.0,4.0,PHO,Memphis Grizzlies,L,112.0,130.0
2017-03-02,ARI,Buffalo Sabres,L,3.0,6.0,PHO,Charlotte Hornets,W,120.0,103.0
2017-03-03,ARI,Carolina Hurricanes,W,4.0,2.0,PHO,Oklahoma City Thunder,W,118.0,111.0
2017-03-05,ARI,Carolina Hurricanes,L,1.0,2.0,PHO,Boston Celtics,W,109.0,106.0
2017-03-09,ARI,Ottawa Senators,L,2.0,3.0,PHO,Los Angeles Lakers,L,110.0,122.0
2017-03-11,ARI,New Jersey Devils,W,5.0,4.0,PHO,Dallas Mavericks,W,100.0,98.0
2017-03-21,ARI,Tampa Bay Lightning,W,5.0,3.0,PHO,Miami Heat,L,97.0,112.0
2017-03-23,ARI,Florida Panthers,L,1.0,3.0,PHO,Brooklyn Nets,L,98.0,126.0
2017-04-02,ARI,Los Angeles Kings,W,2.0,1.0,PHO,Houston Rockets,L,116.0,123.0
2017-10-21,ARI,Chicago Blackhawks,L,2.0,4.0,PHO,Los Angeles Clippers,L,88.0,130.0
2017-10-28,ARI,New Jersey Devils,L,3.0,4.0,PHO,Portland Trail Blazers,L,107.0,114.0
2017-10-31,ARI,Detroit Red Wings,L,3.0,5.0,PHO,Brooklyn Nets,W,122.0,114.0
2017-11-06,ARI,Washington Capitals,L,2.0,3.0,PHO,Brooklyn Nets,L,92.0,98.0
2017-11-11,ARI,Winnipeg Jets,L,1.0,4.0,PHO,Minnesota Timberwolves,W,118.0,110.0
2017-11-16,ARI,Montreal Canadiens,W,5.0,4.0,PHO,Houston Rockets,L,116.0,142.0
2017-11-22,ARI,San Jose Sharks,L,1.0,3.0,PHO,Milwaukee Bucks,L,107.0,113.0
2017-11-24,ARI,Los Angeles Kings,W,3.0,2.0,PHO,New Orleans Pelicans,L,91.0,115.0
2017-11-28,ARI,Edmonton Oilers,L,2.0,3.0,PHO,Chicago Bulls,W,104.0,99.0
2017-12-02,ARI,New Jersey Devils,W,5.0,0.0,PHO,Boston Celtics,L,111.0,116.0
2017-12-07,ARI,Boston Bruins,L,1.0,6.0,PHO,Washington Wizards,L,99.0,109.0
2017-12-09,ARI,Columbus Blue Jackets,L,0.0,1.0,PHO,San Antonio Spurs,L,101.0,104.0
2017-12-16,ARI,Pittsburgh Penguins,L,2.0,4.0,PHO,Minnesota Timberwolves,W,108.0,106.0
2017-12-23,ARI,Colorado Avalanche,L,2.0,6.0,PHO,Minnesota Timberwolves,L,106.0,115.0
2017-12-31,ARI,Anaheim Ducks,L,2.0,5.0,PHO,Philadelphia 76ers,L,110.0,123.0
2018-01-12,ARI,Edmonton Oilers,L,2.0,4.0,PHO,Houston Rockets,L,95.0,112.0
2018-01-16,ARI,San Jose Sharks,L,2.0,3.0,PHO,Portland Trail Blazers,L,111.0,118.0
2018-01-22,ARI,New York Islanders,W,3.0,2.0,PHO,Milwaukee Bucks,L,105.0,109.0
2018-02-06,ARI,Winnipeg Jets,L,3.0,4.0,PHO,Los Angeles Lakers,L,93.0,112.0
2018-02-10,ARI,Philadelphia Flyers,L,3.0,4.0,PHO,Denver Nuggets,L,113.0,123.0
